Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Jayson Tatum\tatumja01,21,59,59,34.6,8.5,18.9,.448,2.8,7.1,.398,5.6,11.7,.479,.523,3.8,4.7,.806,1.0,6.1,7.1,2.9,1.4,0.9,2.2,2.1,23.6
2,Jaylen Brown\brownja02,23,50,50,34.0,7.6,15.4,.490,2.1,5.6,.381,5.4,9.8,.552,.559,3.2,4.3,.736,1.1,5.3,6.4,2.2,1.1,0.3,2.3,3.0,20.4
3,Gordon Hayward\haywago01,29,45,45,33.4,6.8,13.5,.502,1.6,4.2,.392,5.1,9.3,.553,.563,2.1,2.5,.847,1.0,5.5,6.5,4.1,0.8,0.4,1.8,1.8,17.3
4,Marcus Smart\smartma01,25,53,39,32.5,4.5,11.9,.380,2.4,6.9,.348,2.1,5.0,.424,.481,2.0,2.4,.835,0.8,3.1,3.8,4.8,1.6,0.5,1.7,2.7,13.5
5,Kemba Walker\walkeke02,29,50,50,31.8,7.0,16.6,.421,3.3,8.8,.377,3.7,7.9,.470,.520,3.9,4.5,.867,0.7,3.4,4.1,4.9,0.9,0.5,2.1,1.5,21.2
6,Daniel Theis\theisda01,27,58,57,23.8,3.7,6.6,.565,0.4,1.4,.321,3.3,5.2,.631,.599,1.4,1.8,.764,2.2,4.3,6.6,1.6,0.6,1.3,0.8,3.5,9.3
7,Brad Wanamaker\wanambr01,30,63,1,19.3,2.2,5.0,.428,0.5,1.4,.367,1.6,3.6,.452,.480,1.7,1.8,.931,0.3,1.7,2.0,2.5,0.8,0.2,1.1,1.9,6.6
8,Enes Kanter\kanteen01,27,51,6,17.5,3.5,6.1,.566,0.0,0.1,.143,3.4,6.0,.576,.568,1.2,1.7,.708,2.8,5.0,7.7,1.0,0.4,0.7,1.0,1.7,8.2
9,Grant Williams\willigr01,21,62,5,15.6,1.3,3.1,.417,0.3,1.4,.247,1.0,1.7,.551,.471,0.6,0.8,.725,0.9,1.7,2.7,1.0,0.5,0.5,0.7,2.4,3.5
10,Semi Ojeleye\ojelese01,25,61,5,14.6,1.1,2.6,.409,0.6,1.6,.367,0.5,1.0,.475,.522,0.4,0.5,.893,0.4,1.6,2.0,0.5,0.3,0.1,0.2,1.0,3.1
11,Robert Williams\williro04,22,23,1,14.0,1.8,2.7,.677,0.0,0.0,,1.8,2.7,.677,.677,0.6,1.1,.560,1.5,3.2,4.7,1.0,0.9,1.2,0.9,1.7,4.3
12,Romeo Langford\langfro01,20,27,1,11.0,0.9,2.4,.375,0.2,0.9,.217,0.7,1.5,.463,.414,0.6,0.9,.696,0.5,0.7,1.2,0.2,0.3,0.2,0.3,1.1,2.6
13,Javonte Green\greenja02,26,44,1,9.4,1.1,2.2,.500,0.1,0.5,.261,1.0,1.7,.573,.531,0.5,0.8,.639,0.4,1.4,1.8,0.5,0.5,0.2,0.4,0.8,2.9
14,Carsen Edwards\edwarca01,21,35,0,9.0,1.1,3.2,.327,0.6,1.9,.309,0.5,1.3,.356,.420,0.3,0.4,.846,0.2,1.1,1.2,0.6,0.3,0.1,0.4,0.9,3.0
15,Tremont Waters\watertr01,22,10,0,8.9,1.2,3.5,.343,0.3,1.7,.176,0.9,1.8,.500,.386,0.6,0.6,1.000,0.0,0.9,0.9,1.2,0.5,0.2,1.0,1.1,3.3
16,Vincent Poirier\poirivi01,26,21,0,5.4,0.8,1.6,.485,0.0,0.1,.500,0.7,1.5,.484,.500,0.3,0.3,.857,0.5,1.1,1.6,0.3,0.1,0.3,0.3,1.1,1.9
17,Tacko Fall\fallta01,24,6,0,4.0,1.5,2.0,.750,0.0,0.0,,1.5,2.0,.750,.750,0.2,0.5,.333,0.0,1.8,1.8,0.0,0.0,0.3,0.5,0.8,3.2
