Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Spencer Dinwiddie\dinwisp01,26,64,1994,17.9,.541,.392,.437,1.7,9.5,5.7,35.6,1.0,0.9,12.5,29.2,,3.4,1.7,5.1,.123,,2.6,-0.8,1.7,1.9
2,Joe Harris\harrijo01,28,63,1946,12.7,.592,.523,.118,3.3,10.9,7.2,10.3,0.9,0.7,11.1,17.9,,2.1,1.7,3.8,.094,,0.0,-0.5,-0.5,0.8
3,Taurean Waller-Prince\princta02,25,64,1857,9.2,.497,.583,.120,2.8,17.9,10.6,9.3,1.5,1.1,14.0,20.4,,-1.7,2.4,0.7,.019,,-2.9,-0.1,-3.0,-0.5
4,Jarrett Allen\allenja01,21,64,1647,20.3,.658,.012,.574,12.5,25.0,18.9,7.8,1.1,4.3,12.2,15.0,,4.3,2.8,7.1,.207,,1.0,1.1,2.1,1.7
5,Garrett Temple\templga01,33,55,1547,10.3,.507,.660,.139,1.9,10.5,6.3,13.1,1.3,1.4,9.3,16.6,,0.5,1.6,2.1,.065,,-1.5,0.4,-1.1,0.4
6,DeAndre Jordan\jordade01,31,56,1234,20.0,.682,.000,.425,12.1,34.2,23.4,12.8,0.7,3.5,17.8,14.1,,3.0,2.3,5.3,.204,,1.1,1.8,2.8,1.5
7,Caris LeVert\leverca01,25,39,1131,15.1,.509,.310,.264,3.7,10.6,7.2,23.5,1.8,0.5,12.6,28.8,,-0.1,1.2,1.2,.050,,0.1,-0.7,-0.6,0.4
8,Wilson Chandler\chandwi01,32,35,734,7.4,.531,.661,.126,1.6,18.3,10.2,7.4,1.0,1.4,15.0,13.0,,-0.1,0.9,0.8,.050,,-3.9,1.0,-2.9,-0.2
9,Timothé Luwawu-Cabarrot\luwawti01,24,39,671,8.9,.563,.568,.323,3.8,10.0,7.0,5.3,1.1,0.7,12.7,15.7,,0.4,0.6,1.0,.069,,-3.0,-0.2,-3.2,-0.2
10,Kyrie Irving\irvinky01,27,20,658,26.3,.595,.341,.245,3.5,12.4,8.1,37.4,1.9,1.3,10.1,32.6,,2.1,0.8,3.0,.216,,6.6,1.0,7.6,1.6
11,Rodions Kurucs\kurucro01,21,39,501,8.4,.554,.485,.209,3.8,15.8,10.0,9.4,1.6,0.5,19.3,15.1,,-0.1,0.6,0.5,.048,,-3.9,0.9,-2.9,-0.1
12,Džanan Musa\musadz01,20,35,404,8.4,.467,.468,.317,5.0,12.9,9.0,11.0,1.5,0.2,15.5,19.4,,-0.4,0.4,0.0,.006,,-4.1,-0.7,-4.8,-0.3
13,Theo Pinson\pinsoth01,24,33,365,5.2,.370,.516,.103,2.9,12.1,7.6,22.0,2.2,0.9,16.9,22.4,,-1.0,0.5,-0.6,-0.074,,-6.9,-0.2,-7.1,-0.5
14,David Nwaba\nwabada01,27,20,268,14.0,.627,.394,.380,3.2,13.9,8.6,4.4,1.9,3.7,8.8,14.2,,0.4,0.4,0.8,.142,,-1.1,2.0,1.0,0.2
15,Iman Shumpert\shumpim01,29,13,241,5.3,.403,.516,.109,3.9,10.4,7.3,6.8,2.4,0.7,13.0,13.4,,-0.3,0.3,0.0,-0.001,,-6.4,0.8,-5.6,-0.2
16,Nicolas Claxton\claxtni01,20,15,187,14.9,.577,.146,.438,10.7,13.4,12.1,12.6,0.3,3.5,13.6,14.8,,0.3,0.2,0.5,.124,,-0.7,0.0,-0.7,0.1
17,Chris Chiozza\chiozch01,24,11,126,16.5,.621,.556,.044,5.0,11.2,8.2,24.5,1.9,0.0,14.8,17.9,,0.3,0.1,0.4,.154,,1.8,1.1,3.0,0.2
18,Justin Anderson\anderju01,26,3,17,-3.8,.218,.500,.333,0.0,11.8,6.1,0.0,0.0,4.9,0.0,16.9,,-0.1,0.0,-0.1,-0.167,,-12.8,-2.3,-15.1,-0.1
19,Jeremiah Martin\martije02,23,3,16,5.9,.200,.200,.000,0.0,12.6,6.4,16.5,3.0,5.2,0.0,13.1,,0.0,0.0,0.0,-0.040,,-6.6,3.6,-3.0,0.0
20,Henry Ellenson\ellenhe01,23,5,15,-1.2,.143,.571,.000,14.1,26.8,20.6,8.8,0.0,0.0,0.0,19.5,,-0.1,0.0,-0.1,-0.180,,-7.9,-3.1,-11.0,0.0
