No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Bobby Portis,C,6-10,246,February 10 1995,us,4,Arkansas
20,Kevin Knox,SF,6-7,215,August 11 1999,us,1,Kentucky
30,Julius Randle,PF,6-8,250,November 29 1994,us,5,Kentucky
67,Taj Gibson,C,6-9,225,June 24 1985,us,10,USC
23,Mitchell Robinson,C,7-0,223,April 1 1998,us,1,Western Kentucky
11,Frank Ntilikina,PG,6-4,190,July 28 1998,be,2,
9,RJ Barrett,SG,6-6,202,June 14 2000,ca,R,Duke
21,Damyean Dotson,SG,6-5,202,May 6 1994,us,2,Oregon Houston
6,Elfrid Payton,PG,6-3,185,February 22 1994,us,5,LA-Lafayette
2,Wayne Ellington,SG,6-4,200,November 29 1987,us,10,UNC
5,Dennis Smith Jr.,PG,6-2,195,November 25 1997,us,2,NC State
25,Reggie Bullock,SG,6-6,200,March 16 1991,us,6,UNC
3,Maurice Harkless,SF,6-7,220,May 11 1993,us,7,St. John's
17,Ignas Brazdeikis,SF,6-6,216,January 8 1999,lt,R,Michigan
,Theo Pinson,G,6-5,212,November 5 1995,us,1,UNC
,Kenny Wooten  (TW),F,6-9,220,April 17 1998,us,R,Oregon
,Jared Harper  (TW),G,5-11,175,September 14 1997,us,R,Auburn
