No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,Tobias Harris,PF,6-8,235,July 15 1992,us,8,Tennessee
30,Furkan Korkmaz,SG,6-7,190,July 24 1997,tr,2,
1,Mike Scott,PF,6-7,237,July 16 1988,us,7,Virginia
42,Al Horford,C,6-9,245,June 3 1986,do,12,Florida
22,Matisse Thybulle,SG,6-5,200,March 4 1997,us,R,Washington
25,Ben Simmons,PG,6-10,230,July 20 1996,au,2,LSU
19,Raul Neto,PG,6-1,179,May 19 1992,br,4,
0,Josh Richardson,SG,6-5,200,September 15 1993,us,4,Tennessee
21,Joel Embiid,C,7-0,250,March 16 1994,cm,3,Kansas
18,Shake Milton,SG,6-5,207,September 26 1996,us,1,SMU
9,Kyle O'Quinn,C,6-9,250,March 26 1990,us,7,Norfolk State
14,Norvel Pelle,C,6-10,216,February 3 1993,ag,R,
40,Glenn Robinson III,SF,6-6,222,January 8 1994,us,5,Michigan
20,Alec Burks,SG,6-6,214,July 20 1991,us,8,Colorado
5,Zhaire Smith,SG,6-3,199,June 4 1999,us,1,Texas Tech
35,Marial Shayok  (TW),SG,6-5,196,July 26 1995,ca,R,Virginia Iowa State
,Ryan Broekhoff  (TW),F,6-6,215,August 23 1990,au,1,Valparaiso
