Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Kyle Lowry\lowryky01,33,52,52,36.6,5.9,14.3,.417,2.9,8.3,.354,3.0,5.9,.505,.520,4.9,5.7,.861,0.6,4.3,4.8,7.7,1.3,0.4,3.0,3.2,19.7
2,Fred VanVleet\vanvlfr01,25,48,48,35.8,6.0,14.6,.409,2.7,7.0,.388,3.3,7.6,.430,.503,2.9,3.5,.843,0.4,3.4,3.8,6.6,1.9,0.3,2.3,2.5,17.6
3,Pascal Siakam\siakapa01,25,53,53,35.5,8.7,18.9,.459,2.2,6.0,.359,6.5,12.8,.506,.517,4.2,5.2,.800,1.1,6.5,7.5,3.6,1.0,0.9,2.5,2.8,23.6
4,OG Anunoby\anunoog01,22,63,62,30.1,4.2,8.4,.507,1.3,3.4,.381,2.9,5.0,.593,.584,0.9,1.4,.686,1.2,4.2,5.4,1.6,1.4,0.7,1.2,2.5,10.7
5,Norman Powell\powelno01,26,44,23,28.8,5.9,11.7,.502,2.1,5.4,.398,3.8,6.4,.589,.593,2.5,3.0,.838,0.5,3.1,3.7,1.8,1.3,0.4,1.5,2.1,16.4
6,Marc Gasol\gasolma01,35,36,35,27.5,2.8,6.6,.419,1.4,3.5,.402,1.3,3.0,.440,.528,0.7,1.0,.722,0.8,5.5,6.3,3.4,0.8,0.9,1.2,2.8,7.6
7,Serge Ibaka\ibakase01,30,50,27,27.5,6.5,12.5,.518,1.3,3.3,.398,5.1,9.1,.562,.571,1.8,2.4,.748,2.1,6.2,8.3,1.5,0.5,0.8,2.0,2.8,16.0
8,Patrick McCaw\mccawpa01,24,37,12,24.5,1.8,4.4,.414,0.6,1.9,.324,1.2,2.5,.484,.485,0.4,0.5,.722,0.5,1.8,2.3,2.1,1.1,0.1,0.8,1.6,4.6
9,Rondae Hollis-Jefferson\holliro01,25,52,5,19.2,2.7,5.7,.471,0.0,0.3,.118,2.6,5.3,.493,.475,1.8,2.5,.736,2.0,2.9,4.9,1.7,0.8,0.4,0.9,2.0,7.2
10,Terence Davis\daviste02,22,64,2,17.0,2.8,6.1,.463,1.4,3.5,.396,1.5,2.6,.550,.575,0.7,0.8,.865,0.7,2.7,3.4,1.7,0.5,0.2,1.0,1.6,7.7
11,Chris Boucher\bouchch01,27,55,0,13.2,2.2,4.7,.458,0.5,1.8,.283,1.7,2.9,.565,.512,1.5,1.9,.796,1.7,2.7,4.4,0.4,0.4,1.0,0.4,1.9,6.3
12,Matt Thomas\thomama02,25,33,0,9.7,1.6,3.4,.486,1.1,2.3,.467,0.6,1.1,.528,.644,0.2,0.3,.700,0.2,1.2,1.5,0.5,0.2,0.0,0.4,0.9,4.5
13,Oshae Brissett\brissos01,21,19,0,7.1,0.7,1.9,.361,0.2,0.8,.200,0.5,1.1,.476,.403,0.4,0.5,.800,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9
14,Malcolm Miller\millema01,26,25,1,5.0,0.3,1.0,.333,0.2,0.8,.316,0.1,0.2,.400,.458,0.0,0.2,.167,0.0,0.5,0.6,0.3,0.2,0.1,0.1,0.5,0.9
15,Stanley Johnson\johnsst04,23,20,0,4.8,0.4,1.6,.258,0.1,0.7,.154,0.3,0.9,.333,.290,0.3,0.3,.833,0.2,1.0,1.1,0.4,0.2,0.1,0.4,0.5,1.2
16,Shamorie Ponds\pondssh01,21,4,0,2.8,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.5,0.5,1.000,0.0,0.3,0.3,0.5,0.0,0.3,0.0,0.5,2.3
17,Dewan Hernandez\hernade01,23,4,0,2.8,0.3,1.3,.200,0.0,0.3,.000,0.3,1.0,.250,.200,0.5,0.5,1.000,0.5,1.3,1.8,0.0,0.3,0.0,0.3,1.5,1.0
18,Paul Watson\watsopa01,25,3,0,2.7,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.3,0.7,.500,0.0,0.7,0.7,0.7,0.0,0.3,0.0,0.0,0.3
