No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Collin Sexton,SG,6-1,190,January 4 1999,us,1,Alabama
16,Cedi Osman,SF,6-7,215,April 8 1995,mk,2,
10,Darius Garland,PG,6-1,175,January 26 2000,us,R,Vanderbilt
13,Tristan Thompson,C,6-9,238,March 13 1991,ca,8,Texas
18,Matthew Dellavedova,PG,6-3,200,September 8 1990,au,6,Saint Mary's
0,Kevin Love,PF,6-8,251,September 7 1988,us,11,UCLA
22,Larry Nance Jr.,C,6-7,230,January 1 1993,us,4,Wyoming
4,Kevin Porter Jr.,SF,6-4,216,May 4 2000,us,R,USC
28,Alfonzo McKinnie,SF,6-7,215,September 17 1992,us,2,Green Bay
1,Dante Exum,SG,6-5,190,July 13 1995,au,4,
41,Ante Žižić,C,6-10,254,January 4 1997,hr,2,
32,Dean Wade,PF,6-9,228,November 20 1996,us,R,Kansas State
3,Andre Drummond,C,6-10,279,August 10 1993,us,7,UConn
31,Matt Mooney  (TW),SG,6-3,200,February 7 1997,us,R,United States Air Force Academy University of South Dakota Texas Tech
,Sir'Dominic Pointer,G-F,6-6,192,May 6 1992,us,R,St. John's
,Sheldon Mac,G,6-5,200,December 21 1992,us,1,Miami (FL)
,Dylan Windler,G-F,6-6,196,September 22 1996,us,R,Belmont
,Jordan Bell,F,6-8,216,January 7 1995,us,2,Oregon
