Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Domantas Sabonis\sabondo01,23,62,62,34.8,7.4,13.7,.540,0.3,1.1,.254,7.1,12.6,.565,.550,3.5,4.8,.723,3.0,9.4,12.4,5.0,0.8,0.5,2.7,3.1,18.5
2,T.J. Warren\warretj01,26,61,61,32.5,7.5,14.2,.529,1.1,3.0,.375,6.4,11.2,.571,.569,2.5,3.0,.812,1.0,3.0,4.0,1.4,1.1,0.4,1.3,2.8,18.7
3,Malcolm Brogdon\brogdma01,27,48,48,30.7,6.0,13.7,.439,1.3,4.1,.313,4.8,9.7,.491,.485,3.0,3.4,.895,0.8,3.9,4.7,7.1,0.7,0.2,2.4,1.8,16.3
4,Myles Turner\turnemy01,23,55,55,29.6,4.2,9.4,.451,1.4,4.2,.336,2.8,5.2,.542,.525,2.0,2.6,.750,1.3,5.3,6.5,1.1,0.8,2.2,1.2,2.5,11.8
5,Jeremy Lamb\lambje01,27,46,42,28.1,4.7,10.4,.451,1.2,3.4,.335,3.5,7.0,.508,.506,2.0,2.4,.836,0.5,3.8,4.3,2.1,1.2,0.5,1.1,2.3,12.5
6,Victor Oladipo\oladivi01,27,13,10,25.9,4.8,12.4,.391,1.6,5.3,.304,3.2,7.1,.457,.457,2.5,3.2,.780,0.5,2.6,3.2,3.0,0.8,0.2,2.2,1.6,13.8
7,Justin Holiday\holidju01,30,65,2,24.9,2.9,6.6,.440,1.9,4.4,.424,1.0,2.2,.472,.581,0.7,0.9,.780,0.5,2.7,3.2,1.3,1.2,0.6,0.6,1.8,8.4
8,Aaron Holiday\holidaa01,23,58,26,23.6,3.5,8.6,.407,1.4,3.5,.394,2.1,5.1,.416,.488,1.1,1.2,.861,0.4,1.9,2.3,3.3,0.8,0.2,1.3,1.8,9.4
9,Doug McDermott\mcderdo01,28,62,0,20.0,3.9,7.9,.491,1.9,4.3,.445,2.0,3.6,.544,.611,0.7,0.8,.827,0.4,2.1,2.5,1.1,0.1,0.1,0.6,1.7,10.4
10,T.J. McConnell\mccontj01,27,63,3,18.9,3.0,5.7,.517,0.1,0.2,.333,2.9,5.5,.524,.523,0.5,0.6,.833,0.5,2.1,2.6,5.0,0.7,0.2,1.4,1.1,6.5
11,Naz Mitrou-Long\mitrona01,26,3,0,14.3,2.0,5.3,.375,0.7,3.7,.182,1.3,1.7,.800,.438,0.0,0.0,,0.0,2.0,2.0,2.3,0.3,0.3,0.7,0.3,4.7
12,Edmond Sumner\sumneed01,24,25,2,13.8,1.9,4.4,.423,0.4,1.5,.263,1.5,2.9,.507,.468,0.4,0.6,.667,0.4,1.1,1.5,1.6,0.6,0.3,0.8,1.4,4.6
13,JaKarr Sampson\sampsja02,26,26,10,13.1,1.8,3.1,.593,0.1,0.5,.154,1.8,2.6,.676,.605,0.4,0.8,.550,0.6,1.7,2.3,0.3,0.3,0.3,0.3,1.7,4.2
14,Goga Bitadze\bitadgo01,20,49,2,8.4,1.2,2.6,.473,0.1,0.7,.167,1.1,1.9,.591,.496,0.5,0.7,.727,0.4,1.5,2.0,0.4,0.1,0.7,0.5,1.2,3.1
15,T.J. Leaf\leaftj01,22,25,1,7.7,1.2,2.8,.435,0.2,0.6,.357,1.0,2.2,.455,.471,0.3,0.5,.583,0.8,1.7,2.6,0.2,0.3,0.1,0.3,0.7,2.9
16,Brian Bowen\bowenbr02,21,5,1,5.8,0.4,1.8,.222,0.0,0.4,.000,0.4,1.4,.286,.222,0.0,0.0,,0.2,1.2,1.4,0.0,0.0,0.2,0.2,0.4,0.8
17,Alize Johnson\johnsal02,23,13,0,4.2,0.5,1.2,.467,0.0,0.0,,0.5,1.2,.467,.467,0.3,0.5,.667,0.5,0.8,1.4,0.2,0.0,0.0,0.2,0.5,1.4
