No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
12,De'Andre Hunter,SF,6-7,225,December 2 1997,us,R,Virginia
11,Trae Young,PG,6-1,180,September 19 1998,us,1,Oklahoma
15,Vince Carter,SF,6-6,220,January 26 1977,us,21,UNC
22,Cam Reddish,SF,6-8,208,September 1 1999,us,R,Duke
3,Kevin Huerter,SG,6-7,190,August 27 1998,us,1,Maryland
24,Bruno Fernando,C,6-9,233,August 15 1998,ao,R,Maryland
30,Damian Jones,C,6-11,245,June 30 1995,us,3,Vanderbilt
95,DeAndre' Bembry,SG,6-5,210,July 4 1994,us,3,Saint Joseph's
20,John Collins,PF,6-9,235,September 23 1997,us,2,Wake Forest
0,Brandon Goodwin,PG,6-0,180,October 2 1995,us,1,Central Florida Florida Gulf Coast
00,Jeff Teague,PG,6-3,195,June 10 1988,us,10,Wake Forest
2,Treveon Graham,SG,6-5,223,October 28 1993,us,3,Virginia Commonwealth
14,Dewayne Dedmon,C,7-0,245,August 12 1989,us,6,USC
4,Charlie Brown  (TW),SG,6-6,199,February 2 1997,us,R,Saint Joseph's
,Clint Capela,C,6-10,240,May 18 1994,ch,5,
,Skal Labissière,F,6-10,216,March 18 1996,ht,3,Kentucky
