,,Salary,Salary,Salary,Salary,Salary,Salary,,
Player,Age,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
Jeff Teague\teaguje01,32,$19000000,,,,,,Cap space,$19000000
Clint Capela\capelca01,26,$16456522,$17500000,$18543478,$19586957,,,Bird Rights,$72086957
Dewayne Dedmon\dedmode01,30,$13333334,$13333333,$13333333,,,,Cap space,$40000000
De'Andre Hunter\huntede01,22,$7068360,$7422000,$7775400,$9835881,,,1st Round Pick,$14490360
Trae Young\youngtr01,21,$6273000,$6571800,$8326471,,,,1st Round Pick,$12844800
Cam Reddish\reddica01,20,$4245720,$4458000,$4670160,$5954454,,,1st Round Pick,$8703720
John Collins\collijo01,22,$2686560,$4137302,,,,,1st Round Pick,$6823862
Kevin Huerter\huertke01,21,$2636280,$2761920,$4253357,,,,1st Round Pick,$5398200
DeAndre' Bembry\bembrde01,26,$2603982,,,,,,1st Round pick,$2603982
Vince Carter\cartevi01,43,$2564753,,,,,,Minimum Salary,$2564753
Skal Labissière\labissk01,24,$2338847,,,,,,1st Round pick,$2338847
Damian Jones\jonesda03,25,$2305057,,,,,,1st Round pick,$2305057
Treveon Graham\grahatr01,26,$1678854,,,,,,Minimum Salary,$1678854
Bruno Fernando\fernabr01,21,$1400000,$1517981,$1782621,,,,Cap space,$4700602
Brandon Goodwin\goodwbr01,24,$522738,$1701593,,,,,Minimum Salary,$522738
Charlie Brown\brownch02,23,,,,,,,Two-Way Contract,
Chandler Parsons\parsoch01,31,$25102511,,,,,,,$25102511
Nenê Hilário\hilarne01,37,$2564753,,,,,,,$2564753
Derrick Walton\waltode01,25,$1445697,,,,,,,$1445697
Jaylen Adams\adamsja01,24,$100000,,,,,,,$100000
Paul Watson\watsopa01,25,$50752,,,,,,,$50752
Team Totals,,$114377720,$59403929,$58684820,$35377292,,,,$225326445
