No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Miles Bridges,SF,6-6,225,March 21 1998,us,1,Michigan State
4,Devonte' Graham,PG,6-1,185,February 22 1995,us,1,Kansas
3,Terry Rozier,PG,6-1,190,March 17 1994,us,4,Louisville
25,P.J. Washington,PF,6-7,236,August 23 1998,us,R,Kentucky
40,Cody Zeller,C,7-0,240,October 5 1992,us,6,Indiana
1,Malik Monk,SG,6-3,200,February 4 1998,us,2,Kentucky
8,Bismack Biyombo,C,6-8,255,August 28 1992,cd,8,
11,Cody Martin,SF,6-5,205,September 28 1995,us,R,NC State Nevada
7,Dwayne Bacon,SG,6-6,221,August 30 1995,us,2,Florida State
9,Willy Hernangómez,C,6-11,240,May 27 1994,es,3,
5,Nicolas Batum,SF,6-9,200,December 14 1988,fr,11,
10,Caleb Martin,SF,6-5,205,September 28 1995,us,R,NC State Nevada
6,Jalen McDaniels,PF,6-10,192,January 31 1998,us,R,San Diego State
31,Joe Chealey,PG,6-3,190,November 1 1995,us,1,College of Charleston
,Kobi Simmons  (TW),G,6-5,166,July 4 1997,us,2,Arizona
,Ray Spalding  (TW),F,6-10,215,March 11 1997,us,1,Louisville
