Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Bam Adebayo\adebaba01,22,65,2235,20.6,.606,.018,.476,8.7,25.0,17.2,23.6,1.7,3.8,17.5,20.8,,4.6,3.6,8.1,.175,,1.6,2.1,3.6,3.2
2,Duncan Robinson\robindu01,25,65,1949,12.8,.678,.886,.086,0.5,11.2,6.1,7.0,0.9,0.8,8.6,15.8,,3.2,1.5,4.7,.116,,1.2,-0.9,0.3,1.1
3,Jimmy Butler\butleji01,30,54,1851,23.4,.583,.162,.679,6.2,15.2,10.9,28.1,2.4,1.6,11.2,25.2,,6.0,2.5,8.5,.219,,4.0,1.3,5.2,3.4
4,Kendrick Nunn\nunnke01,24,62,1846,13.5,.545,.426,.108,1.2,8.7,5.1,18.7,1.4,0.6,10.2,23.7,,1.0,1.4,2.4,.064,,-0.7,-1.3,-2.0,0.0
5,Goran Dragić\dragigo01,33,54,1531,15.9,.571,.472,.333,2.0,9.9,6.1,28.6,1.0,0.5,14.9,25.7,,2.0,1.1,3.0,.095,,1.4,-1.9,-0.5,0.6
6,Tyler Herro\herroty01,20,47,1280,11.4,.534,.476,.148,1.3,14.6,8.2,11.1,1.1,0.5,11.3,22.0,,-0.3,1.1,0.9,.033,,-1.0,-1.3,-2.3,-0.1
7,Derrick Jones\jonesde02,22,51,1249,14.8,.609,.390,.350,5.4,13.5,9.6,6.7,2.1,2.9,6.8,14.1,,2.3,1.6,3.9,.150,,-0.4,1.1,0.8,0.9
8,Kelly Olynyk\olynyke01,28,59,1089,14.7,.640,.584,.259,4.0,22.0,13.4,13.2,1.7,1.6,15.1,16.9,,1.7,1.5,3.2,.140,,0.1,1.0,1.1,0.8
9,Meyers Leonard\leoname01,27,49,987,11.1,.640,.534,.117,3.2,24.1,14.1,7.7,0.6,1.5,13.0,12.0,,1.0,1.1,2.1,.104,,-1.0,0.4,-0.6,0.3
10,Jae Crowder\crowdja01,29,13,373,16.0,.618,.781,.228,2.5,19.6,11.4,10.3,2.6,1.9,6.0,15.8,,0.7,0.6,1.3,.168,,0.7,1.1,1.8,0.4
11,Justise Winslow\winslju01,23,11,352,8.6,.440,.209,.209,5.3,17.4,11.6,18.6,1.0,1.4,14.6,20.7,,-0.4,0.4,0.0,-0.003,,-3.5,-0.1,-3.5,-0.1
12,Chris Silva\silvach01,23,41,307,17.2,.663,.029,.710,20.6,19.3,19.9,10.2,1.4,5.8,25.5,17.5,,0.7,0.5,1.1,.178,,-3.4,0.9,-2.5,0.0
13,James Johnson\johnsja01,32,18,281,11.1,.547,.517,.161,3.3,16.9,10.4,11.1,1.0,4.6,13.9,17.0,,0.0,0.4,0.4,.066,,-2.6,0.7,-1.9,0.0
14,Andre Iguodala\iguodan01,36,14,259,11.0,.559,.471,.157,4.5,17.9,11.5,15.1,1.5,6.1,23.8,12.2,,0.0,0.4,0.4,.078,,-2.5,1.9,-0.7,0.1
15,Solomon Hill\hillso01,28,6,91,5.9,.447,.600,.267,3.9,8.3,6.2,5.7,2.7,5.5,29.5,11.5,,-0.1,0.1,0.0,-0.006,,-4.5,0.8,-3.7,0.0
16,Gabe Vincent\vincega01,23,6,42,1.2,.316,.842,.000,0.0,7.7,4.0,9.9,1.2,0.0,0.0,20.0,,-0.1,0.0,-0.1,-0.105,,-6.7,-2.9,-9.6,-0.1
17,Dion Waiters\waitedi01,28,3,42,13.5,.530,.654,.038,0.0,28.2,14.7,12.4,0.0,4.7,10.2,30.9,,-0.1,0.1,0.0,-0.001,,2.4,-0.6,1.8,0.0
18,KZ Okpala\okpalkz01,20,5,26,13.7,.595,.200,.400,4.5,16.6,10.8,5.5,3.8,3.8,14.5,11.7,,0.0,0.0,0.1,.119,,-1.2,4.0,2.7,0.0
19,Udonis Haslem\hasleud01,39,3,21,3.0,.322,.333,.667,0.0,41.0,21.4,6.2,0.0,0.0,0.0,16.3,,0.0,0.0,0.0,-0.032,,-9.7,-3.0,-12.7,-0.1
20,Daryl Macon\maconda01,24,4,14,-3.1,.500,.667,.000,0.0,0.0,0.0,9.6,0.0,0.0,40.0,15.8,,0.0,0.0,0.0,-0.161,,-7.0,-4.4,-11.4,0.0
