No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
13,Bam Adebayo,PF,6-9,255,July 18 1997,us,2,Kentucky
55,Duncan Robinson,SF,6-7,215,April 22 1994,us,1,Williams Michigan
25,Kendrick Nunn,SG,6-2,190,August 3 1995,us,R,Illinois Oakland
9,Kelly Olynyk,C,6-11,240,April 19 1991,ca,6,Gonzaga
22,Jimmy Butler,SF,6-7,230,September 14 1989,us,8,Marquette
7,Goran Dragić,PG,6-3,190,May 6 1986,si,11,
5,Derrick Jones Jr.,SF,6-6,210,February 15 1997,us,3,UNLV
0,Meyers Leonard,C,7-0,260,February 27 1992,us,7,Illinois
14,Tyler Herro,SG,6-5,200,January 20 2000,us,R,Kentucky
30,Chris Silva,PF,6-8,230,September 19 1996,ga,R,South Carolina
28,Andre Iguodala,SG,6-6,215,January 28 1984,us,15,Arizona
99,Jae Crowder,SF,6-6,235,July 6 1990,us,7,Marquette
44,Solomon Hill,SF,6-6,225,March 18 1991,us,6,Arizona
2,Gabe Vincent  (TW),PG,6-3,200,June 14 1996,us,R,UC Santa Barbara
4,KZ Okpala,SF,6-8,215,April 28 1999,us,R,Stanford
40,Udonis Haslem,PF,6-8,235,June 9 1980,us,16,Florida
,Kyle Alexander  (TW),F,6-11,222,October 21 1996,ca,R,Tennessee
