No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
20,Markelle Fultz,PG,6-3,200,May 29 1998,us,2,Washington
31,Terrence Ross,SG,6-6,206,February 5 1991,us,7,Washington
10,Evan Fournier,SG,6-7,205,October 29 1992,fr,7,
5,Mo Bamba,C,7-0,241,May 12 1998,us,1,Texas
00,Aaron Gordon,PF,6-8,220,September 16 1995,us,5,Arizona
9,Nikola Vučević,C,6-11,260,October 24 1990,ch,8,USC
14,D.J. Augustin,PG,5-11,183,November 10 1987,us,11,Texas
25,Wesley Iwundu,SF,6-6,195,December 20 1994,us,2,Kansas State
7,Michael Carter-Williams,SG,6-5,190,October 10 1991,us,6,Syracuse
24,Khem Birch,C,6-9,233,September 28 1992,ca,2,Pitt UNLV
1,Jonathan Isaac,SF,6-11,210,October 3 1997,us,2,Florida State
2,Al-Farouq Aminu,PF,6-8,220,September 21 1990,us,9,Wake Forest
12,Gary Clark,PF,6-6,225,November 16 1994,us,1,Cincinnati
35,Melvin Frazier,SG,6-5,200,August 30 1996,us,1,Tulane
11,James Ennis,SF,6-6,210,July 1 1990,us,5,Cal State Long Beach
13,B.J. Johnson  (TW),SF,6-7,200,December 21 1995,us,1,Syracuse La Salle
23,Vic Law  (TW),SF,6-7,200,December 19 1995,us,R,Northwestern
