Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Bradley Beal\bealbr01,26,57,2053,23.1,.579,.369,.351,2.7,10.6,6.5,29.1,1.6,1.0,11.4,34.4,,4.6,0.5,5.1,.119,,5.3,-2.4,2.9,2.5
2,Dāvis Bertāns\bertada01,27,54,1583,15.5,.628,.774,.200,2.3,15.1,8.5,8.3,1.1,1.8,8.2,19.0,,3.0,0.5,3.5,.106,,2.7,-1.8,0.9,1.1
3,Ish Smith\smithis01,31,60,1570,13.8,.512,.258,.120,1.9,11.7,6.6,25.9,1.5,1.3,11.2,18.3,,1.3,0.4,1.7,.053,,-0.3,-1.1,-1.4,0.2
4,Troy Brown\browntr01,20,61,1519,13.7,.534,.287,.225,4.4,19.6,11.7,13.0,2.3,0.3,10.5,17.0,,1.2,0.9,2.2,.069,,-0.8,-0.4,-1.3,0.3
5,Rui Hachimura\hachiru01,21,41,1217,13.9,.543,.160,.243,5.5,17.4,11.2,8.3,1.3,0.5,7.5,18.7,,1.3,0.4,1.7,.066,,-1.1,-1.9,-3.0,-0.3
6,Isaac Bonga\bongais01,20,58,1025,10.7,.627,.299,.348,6.3,13.6,9.8,7.7,1.7,1.8,16.2,10.3,,1.3,0.4,1.7,.081,,-2.4,0.0,-2.4,-0.1
7,Isaiah Thomas\thomais02,30,40,925,11.6,.531,.444,.178,1.3,7.0,4.0,23.2,0.7,0.6,14.4,24.1,,0.2,-0.1,0.0,.001,,-0.5,-3.9,-4.4,-0.6
8,Thomas Bryant\bryanth01,22,38,901,20.0,.659,.176,.309,8.8,23.4,15.8,11.9,0.7,3.2,12.1,18.3,,2.4,0.5,2.9,.153,,2.1,-1.2,0.9,0.7
9,Ian Mahinmi\mahinia01,33,38,808,14.1,.545,.124,.538,10.2,19.8,14.8,8.2,1.8,4.7,14.8,15.7,,0.7,0.7,1.4,.082,,-2.7,0.0,-2.7,-0.2
10,Moritz Wagner\wagnemo01,22,37,707,16.6,.666,.294,.360,7.6,22.8,14.9,10.1,1.5,2.1,17.2,18.8,,1.3,0.5,1.8,.122,,-1.2,-0.3,-1.6,0.1
11,Jordan McRae\mcraejo01,28,29,654,15.2,.523,.334,.262,2.7,15.2,8.7,18.8,1.4,2.0,9.7,24.9,,0.4,0.2,0.7,.050,,0.8,-1.3,-0.5,0.3
12,Gary Payton\paytoga02,27,29,432,11.3,.473,.397,.069,6.3,14.3,10.2,14.7,3.6,1.4,14.3,13.4,,0.1,0.4,0.4,.049,,-3.1,1.5,-1.6,0.0
13,Anžejs Pasečņiks\pasecan01,24,24,405,11.6,.555,.019,.509,10.2,16.9,13.4,5.7,0.9,2.6,14.5,15.6,,0.3,0.2,0.5,.056,,-3.8,-1.6,-5.4,-0.3
14,Shabazz Napier\napiesh01,28,15,378,15.7,.587,.485,.408,2.2,8.5,5.2,24.2,3.2,0.5,18.6,20.7,,0.4,0.2,0.6,.082,,0.2,-0.2,0.1,0.2
15,Admiral Schofield\schofad01,22,27,293,6.8,.514,.627,.173,2.2,10.9,6.4,6.2,1.3,0.9,8.0,12.5,,0.1,0.0,0.1,.020,,-4.2,-1.1,-5.3,-0.2
16,Jerome Robinson\robinje01,22,13,272,8.1,.468,.463,.125,1.6,17.6,9.3,9.2,1.5,1.9,8.7,14.1,,-0.1,0.1,0.1,.011,,-3.3,-0.6,-3.9,-0.1
17,Garrison Mathews\mathega01,23,18,227,13.1,.691,.821,.607,2.8,9.1,5.8,5.8,1.6,0.4,10.1,14.5,,0.6,0.0,0.6,.129,,-0.5,-0.6,-1.1,0.1
18,C.J. Miles\milescj01,32,10,161,11.0,.472,.593,.339,2.6,5.7,4.1,9.9,2.9,2.2,5.6,18.6,,0.0,0.1,0.1,.033,,-1.8,0.0,-1.9,0.0
19,Johnathan Williams\willijo04,24,11,135,14.4,.643,.080,.200,11.7,23.7,17.5,5.9,0.3,3.9,12.8,9.6,,0.3,0.1,0.3,.116,,-0.5,-1.3,-1.8,0.0
20,Chris Chiozza\chiozch01,24,10,123,9.2,.397,.471,.000,0.0,13.9,6.7,28.9,3.8,1.4,20.9,14.5,,-0.1,0.1,0.0,-0.002,,-3.6,2.1,-1.4,0.0
21,Justin Robinson\robinju01,22,9,49,8.2,.542,.417,.000,2.2,9.3,5.6,18.6,0.0,1.8,20.0,12.7,,0.0,0.0,0.0,.006,,-2.6,-3.1,-5.7,0.0
