No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
6,Troy Brown Jr.,SG,6-6,215,July 28 1999,us,1,Oregon
14,Ish Smith,PG,6-0,175,July 5 1988,us,9,Wake Forest
17,Isaac Bonga,SF,6-8,180,November 8 1999,de,1,
3,Bradley Beal,SG,6-3,207,June 28 1993,us,7,Florida
42,Dāvis Bertāns,PF,6-10,225,November 12 1992,lv,3,
8,Rui Hachimura,PF,6-8,230,February 8 1998,jp,R,Gonzaga
13,Thomas Bryant,C,6-10,248,July 31 1997,us,2,Indiana
28,Ian Mahinmi,C,6-11,262,November 5 1986,fr,11,
21,Moritz Wagner,C,6-11,245,April 26 1997,de,1,Michigan
20,Gary Payton II,PG,6-3,190,December 1 1992,us,3,Oregon State
1,Admiral Schofield,SF,6-5,241,March 30 1997,gb,R,Tennessee
18,Anžejs Pasečņiks,C,7-1,220,December 20 1995,lv,R,
24,Garrison Mathews  (TW),SG,6-5,215,October 24 1996,us,R,Lipscomb
5,Shabazz Napier,PG,6-0,175,July 14 1991,us,5,UConn
12,Jerome Robinson,SG,6-4,190,February 22 1997,us,1,Boston College
19,Johnathan Williams  (TW),C,6-9,228,May 22 1995,us,1,Missouri Gonzaga
,John Wall,G,6-4,210,September 6 1990,us,9,Kentucky
,Jerian Grant,G,6-4,205,October 9 1992,us,4,Notre Dame
,Jarrod Uthoff,F,6-9,221,May 19 1993,us,1,Iowa
