Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Bradley Beal\bealbr01,26,57,57,36.0,10.4,22.9,.455,3.0,8.4,.353,7.4,14.4,.515,.520,6.8,8.0,.842,0.9,3.3,4.2,6.1,1.2,0.4,3.4,2.2,30.5
2,Rui Hachimura\hachiru01,21,41,41,29.7,5.3,11.1,.478,0.5,1.8,.274,4.8,9.3,.517,.500,2.2,2.7,.829,1.5,4.5,6.0,1.7,0.8,0.2,1.0,2.2,13.4
3,Dāvis Bertāns\bertada01,27,54,4,29.3,4.9,11.3,.434,3.7,8.7,.424,1.2,2.6,.471,.598,1.9,2.3,.852,0.6,3.9,4.5,1.7,0.7,0.6,1.1,2.6,15.4
4,Ish Smith\smithis01,31,60,19,26.2,4.4,9.7,.451,0.9,2.5,.367,3.5,7.2,.480,.498,0.8,1.2,.686,0.5,2.7,3.2,4.8,0.9,0.4,1.3,1.4,10.5
5,Shabazz Napier\napiesh01,28,15,8,25.2,3.7,8.7,.431,1.6,4.2,.381,2.1,4.5,.478,.523,2.9,3.5,.830,0.5,1.9,2.4,4.4,1.7,0.1,2.3,2.1,12.0
6,Troy Brown\browntr01,20,61,14,24.9,3.8,8.3,.453,0.8,2.4,.345,2.9,5.9,.496,.502,1.4,1.9,.754,1.0,4.3,5.3,2.3,1.2,0.1,1.1,1.8,9.7
7,Thomas Bryant\bryanth01,22,38,28,23.7,4.8,8.1,.599,0.6,1.4,.407,4.3,6.7,.640,.635,1.8,2.5,.737,2.0,4.9,6.8,1.9,0.4,0.9,1.3,2.2,12.1
8,Isaiah Thomas\thomais02,30,40,37,23.1,4.4,10.7,.408,2.0,4.7,.413,2.4,5.9,.405,.500,1.6,1.9,.816,0.3,1.4,1.7,3.7,0.3,0.2,1.9,1.9,12.2
9,Jordan McRae\mcraejo01,28,29,4,22.6,4.6,10.9,.420,1.4,3.7,.377,3.2,7.3,.441,.483,2.2,2.9,.771,0.6,3.0,3.6,2.8,0.7,0.5,1.3,2.1,12.8
10,Ian Mahinmi\mahinia01,33,38,35,21.3,2.7,5.5,.495,0.1,0.7,.192,2.6,4.8,.538,.507,1.8,3.0,.619,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3.0,7.4
11,Jerome Robinson\robinje01,22,13,3,20.9,2.2,6.2,.363,0.9,2.8,.324,1.3,3.3,.395,.438,0.7,0.8,.900,0.3,3.2,3.5,1.5,0.7,0.5,0.6,2.2,6.1
12,Moritz Wagner\wagnemo01,22,37,5,19.1,3.5,6.2,.575,0.6,1.8,.343,2.9,4.4,.671,.625,1.8,2.2,.817,1.4,3.8,5.2,1.3,0.6,0.5,1.5,3.6,9.5
13,Isaac Bonga\bongais01,20,58,41,17.7,1.7,3.2,.522,0.4,0.9,.400,1.3,2.2,.574,.582,0.9,1.1,.813,1.1,2.1,3.2,1.1,0.6,0.4,0.7,2.3,4.6
14,Anžejs Pasečņiks\pasecan01,24,24,0,16.9,2.3,4.4,.528,0.0,0.1,.000,2.3,4.3,.538,.528,1.3,2.3,.593,1.6,2.5,4.1,0.7,0.3,0.5,0.9,2.7,6.0
15,C.J. Miles\milescj01,32,10,0,16.1,1.9,5.9,.322,1.1,3.5,.314,0.8,2.4,.333,.415,1.5,2.0,.750,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,6.4
16,Gary Payton\paytoga02,27,29,17,14.9,1.7,4.0,.414,0.4,1.6,.283,1.2,2.4,.500,.470,0.1,0.3,.500,0.9,1.9,2.8,1.7,1.1,0.2,0.7,1.9,3.9
17,Garrison Mathews\mathega01,23,18,0,12.6,1.3,3.1,.429,1.1,2.6,.413,0.3,0.6,.500,.598,1.7,1.9,.912,0.3,1.0,1.3,0.6,0.4,0.1,0.4,1.8,5.4
18,Chris Chiozza\chiozch01,24,10,0,12.3,1.0,3.4,.294,0.7,1.6,.438,0.3,1.8,.167,.397,0.0,0.0,,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2,2.7
19,Johnathan Williams\willijo04,24,11,5,12.3,1.5,2.3,.640,0.0,0.2,.000,1.5,2.1,.696,.640,0.3,0.5,.600,1.4,2.5,3.9,0.5,0.1,0.5,0.4,1.0,3.2
20,Admiral Schofield\schofad01,22,27,2,10.9,1.1,2.8,.400,0.5,1.7,.298,0.6,1.0,.571,.493,0.3,0.5,.692,0.2,1.0,1.3,0.5,0.3,0.1,0.3,1.5,3.1
21,Justin Robinson\robinju01,22,9,0,5.4,0.6,1.3,.417,0.3,0.6,.600,0.2,0.8,.286,.542,0.0,0.0,,0.1,0.4,0.6,0.8,0.0,0.1,0.3,0.2,1.4
