Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jayson Tatum\tatumja01,21,59,2043,20.3,.562,.377,.251,3.0,18.8,11.0,14.0,2.0,2.4,9.7,28.6,,2.9,3.4,6.2,.147,,3.3,0.6,3.9,3.0
2,Marcus Smart\smartma01,25,53,1721,14.0,.519,.582,.201,2.5,10.1,6.4,21.0,2.4,1.5,11.5,19.3,,1.7,2.4,4.1,.115,,0.2,1.3,1.6,1.5
3,Jaylen Brown\brownja02,23,50,1702,17.1,.589,.364,.280,3.4,16.5,10.0,10.2,1.6,0.9,11.8,24.7,,2.1,2.3,4.5,.126,,1.0,-0.1,0.9,1.2
4,Kemba Walker\walkeke02,29,50,1592,20.2,.569,.526,.270,2.2,11.4,6.9,24.6,1.4,1.5,10.3,27.8,,3.5,1.9,5.4,.163,,5.0,-0.2,4.7,2.7
5,Gordon Hayward\haywago01,29,45,1501,18.2,.593,.311,.183,3.2,17.6,10.5,19.0,1.1,1.2,10.8,20.9,,3.1,1.9,5.0,.160,,2.6,0.3,2.9,1.8
6,Daniel Theis\theisda01,27,58,1382,18.2,.629,.212,.277,10.2,19.2,14.7,9.9,1.2,5.0,10.1,14.7,,3.6,2.3,5.9,.205,,0.4,1.8,2.3,1.5
7,Brad Wanamaker\wanambr01,30,63,1215,11.8,.560,.283,.365,1.7,9.2,5.5,17.6,2.1,0.9,15.9,15.4,,1.2,1.5,2.7,.108,,-2.5,1.2,-1.3,0.2
8,Grant Williams\willigr01,21,62,970,8.0,.508,.443,.266,6.5,11.7,9.1,8.3,1.4,3.1,17.7,11.5,,0.2,1.3,1.5,.075,,-4.0,1.4,-2.6,-0.1
9,Enes Kanter\kanteen01,27,51,891,22.0,.594,.023,.286,17.1,30.2,23.7,8.4,1.1,3.9,12.9,19.3,,2.1,1.7,3.8,.207,,1.6,-0.1,1.5,0.8
10,Semi Ojeleye\ojelese01,25,61,891,7.6,.557,.616,.176,2.9,11.9,7.5,4.5,1.0,0.5,6.5,8.8,,0.8,0.9,1.7,.091,,-2.1,0.5,-1.6,0.1
11,Javonte Green\greenja02,26,44,414,12.3,.558,.235,.367,4.7,15.9,10.4,7.6,2.7,1.6,13.7,13.6,,0.3,0.7,1.0,.112,,-2.4,1.8,-0.6,0.1
12,Robert Williams\williro04,22,23,323,19.6,.671,.000,.403,11.4,24.3,17.9,9.5,3.0,8.0,21.5,12.3,,0.6,0.8,1.4,.205,,-0.6,4.4,3.8,0.5
13,Carsen Edwards\edwarca01,21,35,316,6.5,.446,.602,.115,2.1,12.4,7.3,9.5,1.5,0.9,11.2,18.1,,-0.3,0.4,0.1,.012,,-4.6,-0.3,-4.9,-0.2
14,Romeo Langford\langfro01,20,27,298,6.0,.465,.359,.359,5.1,6.4,5.8,2.6,1.3,1.9,10.8,11.9,,-0.1,0.3,0.2,.039,,-4.5,-0.1,-4.6,-0.2
15,Vincent Poirier\poirivi01,26,21,114,12.8,.540,.061,.212,9.5,22.4,16.0,8.6,0.8,4.9,14.3,15.8,,0.1,0.2,0.3,.124,,-4.5,0.7,-3.8,-0.1
16,Tremont Waters\watertr01,22,10,89,6.5,.438,.486,.171,0.0,10.7,5.4,18.8,2.7,2.1,21.0,22.9,,-0.2,0.1,-0.1,-0.045,,-6.6,0.1,-6.5,-0.1
17,Tacko Fall\fallta01,24,6,24,23.9,.713,.000,.250,0.0,48.7,24.6,0.0,0.0,7.7,18.4,29.0,,0.0,0.1,0.1,.102,,-2.0,3.1,1.0,0.0
