No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Brad Wanamaker,PG,6-3,210,July 25 1989,us,1,Pitt
12,Grant Williams,PF,6-6,236,November 30 1998,us,R,Tennessee
37,Semi Ojeleye,PF,6-6,235,December 5 1994,us,2,Duke SMU
0,Jayson Tatum,PF,6-8,204,March 3 1998,us,2,Duke
27,Daniel Theis,C,6-8,215,April 4 1992,de,2,
36,Marcus Smart,SG,6-3,227,March 6 1994,us,5,Oklahoma State
11,Enes Kanter,C,6-10,262,May 20 1992,ch,8,
8,Kemba Walker,PG,6-0,172,May 8 1990,us,8,UConn
7,Jaylen Brown,SF,6-6,223,October 24 1996,us,3,California
20,Gordon Hayward,SF,6-7,207,March 23 1990,us,9,Butler
43,Javonte Green,SF,6-4,220,July 23 1993,us,R,Radford
4,Carsen Edwards,SG,5-11,200,March 12 1998,us,R,Purdue
45,Romeo Langford,SG,6-4,216,October 25 1999,us,R,Indiana
44,Robert Williams,C,6-8,237,October 17 1997,us,1,Texas A&M
77,Vincent Poirier,C,7-0,235,October 17 1993,fr,R,
51,Tremont Waters  (TW),PG,5-10,175,January 10 1998,us,R,LSU
99,Tacko Fall  (TW),C,7-5,311,December 10 1995,sn,R,Central Florida
