No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
26,Spencer Dinwiddie,SG,6-5,215,April 6 1993,us,5,Colorado
2,Taurean Prince,SF,6-7,218,March 22 1994,us,3,Baylor
31,Jarrett Allen,C,6-11,237,April 21 1998,us,2,Texas
12,Joe Harris,SF,6-6,220,September 6 1991,us,5,Virginia
6,DeAndre Jordan,C,6-11,265,July 21 1988,us,11,Texas A&M
17,Garrett Temple,SG,6-5,195,May 8 1986,us,9,LSU
22,Caris LeVert,SG,6-6,205,August 25 1994,us,3,Michigan
9,Timothé Luwawu-Cabarrot,SG,6-7,210,May 9 1995,fr,3,
00,Rodions Kurucs,PF,6-9,228,February 5 1998,lv,1,
21,Wilson Chandler,SF,6-8,235,May 10 1987,us,11,DePaul
13,Džanan Musa,SF,6-9,217,May 8 1999,ba,1,
11,Kyrie Irving,PG,6-2,195,March 23 1992,au,8,Duke
33,Nicolas Claxton,PF,6-11,215,April 17 1999,us,R,Georgia
4,Chris Chiozza  (TW),PG,5-11,175,November 21 1995,us,1,Florida
10,Justin Anderson,SF,6-6,230,November 19 1993,us,4,Virginia
0,Jeremiah Martin  (TW),PG,6-3,184,June 19 1996,us,R,Memphis
,Lance Thomas,F,6-8,240,April 24 1988,us,8,Duke
,Kevin Durant,F-G,6-10,240,September 29 1988,us,12,Texas
,Tyler Johnson,G,6-3,190,May 7 1992,us,5,Fresno State
,Jamal Crawford,G,6-5,185,March 20 1980,us,19,Michigan
,Donta Hall,F,6-9,230,August 7 1997,us,R,Alabama
