Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Kyrie Irving\irvinky01,27,20,20,32.9,10.0,20.8,.478,2.8,7.1,.394,7.2,13.7,.522,.546,4.7,5.1,.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4
2,Spencer Dinwiddie\dinwisp01,26,64,49,31.2,6.6,16.0,.415,1.9,6.3,.308,4.7,9.7,.485,.476,5.4,7.0,.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6
3,Joe Harris\harrijo01,28,63,63,30.9,5.3,11.2,.471,2.4,5.9,.412,2.9,5.3,.536,.579,1.0,1.3,.747,1.0,3.4,4.3,2.1,0.6,0.3,1.5,2.2,13.9
4,Taurean Waller-Prince\princta02,25,64,61,29.0,4.3,11.5,.376,2.3,6.7,.339,2.1,4.8,.429,.475,1.1,1.4,.798,0.8,5.2,6.0,1.8,0.9,0.4,2.0,2.5,12.1
5,Caris LeVert\leverca01,25,39,25,29.0,6.5,15.6,.414,1.8,4.8,.381,4.6,10.8,.429,.473,3.0,4.1,.720,1.0,3.1,4.1,4.1,1.1,0.2,2.5,1.8,17.7
6,Garrett Temple\templga01,33,55,31,28.1,3.6,9.5,.378,2.0,6.3,.324,1.6,3.2,.483,.485,1.0,1.3,.767,0.5,2.9,3.5,2.6,0.8,0.5,1.0,1.7,10.3
7,Jarrett Allen\allenja01,21,64,58,25.7,4.2,6.5,.646,0.0,0.1,.000,4.2,6.4,.654,.646,2.3,3.7,.620,3.0,6.4,9.5,1.3,0.6,1.3,1.1,2.3,10.6
8,DeAndre Jordan\jordade01,31,56,6,22.0,3.4,5.1,.666,0.0,0.0,,3.4,5.1,.666,.666,1.5,2.2,.680,2.5,7.5,10.0,1.9,0.3,0.9,1.3,2.0,8.3
9,Wilson Chandler\chandwi01,32,35,3,21.0,2.1,5.2,.404,1.1,3.5,.306,1.1,1.8,.597,.505,0.6,0.7,.870,0.3,3.8,4.1,1.1,0.5,0.3,1.0,2.3,5.9
10,Iman Shumpert\shumpim01,29,13,0,18.5,1.6,4.9,.328,0.6,2.5,.242,1.0,2.4,.419,.391,0.3,0.5,.571,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6,4.2
11,Timothé Luwawu-Cabarrot\luwawti01,24,39,0,17.2,2.0,4.9,.406,1.0,2.8,.358,1.0,2.1,.470,.508,1.3,1.6,.839,0.6,1.7,2.3,0.6,0.4,0.2,0.8,2.1,6.3
12,David Nwaba\nwabada01,27,20,0,13.4,1.9,3.6,.521,0.6,1.4,.429,1.3,2.2,.581,.606,0.9,1.4,.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2
13,Rodions Kurucs\kurucro01,21,39,4,12.8,1.5,3.4,.448,0.6,1.7,.385,0.9,1.8,.507,.541,0.4,0.7,.607,0.5,2.0,2.5,0.8,0.4,0.1,0.9,1.7,4.2
14,Nicolas Claxton\claxtni01,20,15,0,12.5,1.8,3.2,.563,0.1,0.5,.143,1.7,2.7,.634,.573,0.7,1.4,.524,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9,4.4
15,Džanan Musa\musadz01,20,35,0,11.5,1.4,4.0,.360,0.4,1.9,.231,1.0,2.1,.473,.414,0.9,1.3,.750,0.5,1.5,2.0,0.9,0.4,0.0,0.8,0.7,4.2
16,Chris Chiozza\chiozch01,24,11,0,11.5,2.0,4.1,.489,1.0,2.3,.440,1.0,1.8,.550,.611,0.2,0.2,1.000,0.5,1.3,1.8,1.8,0.5,0.0,0.7,1.0,5.2
17,Theo Pinson\pinsoth01,24,33,0,11.1,1.4,4.7,.290,0.5,2.4,.188,0.9,2.3,.400,.339,0.5,0.5,.938,0.3,1.3,1.6,1.7,0.5,0.1,1.0,1.1,3.6
18,Justin Anderson\anderju01,26,3,0,5.7,0.3,2.0,.167,0.0,1.0,.000,0.3,1.0,.333,.167,0.3,0.7,.500,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0
19,Jeremiah Martin\martije02,23,3,0,5.3,0.3,1.7,.200,0.0,0.3,.000,0.3,1.3,.250,.200,0.0,0.0,,0.0,0.7,0.7,0.7,0.3,0.3,0.0,0.0,0.7
20,Henry Ellenson\ellenhe01,23,5,0,3.0,0.2,1.4,.143,0.0,0.8,.000,0.2,0.6,.333,.143,0.0,0.0,,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,0.4
