Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Julius Randle\randlju01,25,64,2080,17.5,.538,.230,.350,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,,1.0,1.7,2.7,.062,,0.7,-1.0,-0.3,0.9
2,RJ Barrett\barrerj01,19,56,1704,10.7,.479,.271,.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,,-1.6,1.1,-0.5,-0.015,,-2.8,-1.5,-4.3,-1.0
3,Mitchell Robinson\robinmi01,21,61,1412,23.5,.726,.000,.434,13.7,18.8,16.2,3.9,1.8,8.0,8.3,13.3,,4.8,2.0,6.8,.230,,1.6,1.3,3.0,1.8
4,Bobby Portis\portibo01,24,66,1393,14.6,.530,.317,.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,,0.9,1.0,1.9,.064,,0.1,-1.1,-1.0,0.3
5,Marcus Morris\morrima03,30,43,1387,16.5,.582,.415,.311,3.6,14.7,9.0,6.8,1.2,1.2,9.2,24.4,,2.2,0.8,2.9,.101,,1.9,-1.1,0.8,1.0
6,Elfrid Payton\paytoel01,25,45,1246,16.0,.470,.157,.195,4.3,14.1,9.1,38.6,2.7,1.3,16.7,19.5,,0.5,1.2,1.7,.065,,-0.3,0.3,0.0,0.6
7,Frank Ntilikina\ntilila01,21,57,1187,9.8,.497,.411,.177,2.0,9.1,5.4,20.2,2.2,1.3,16.5,15.4,,0.1,0.8,0.9,.037,,-3.6,0.4,-3.2,-0.4
8,Kevin Knox\knoxke01,20,65,1166,8.4,.470,.496,.252,2.5,14.7,8.4,7.4,1.0,2.3,9.2,17.8,,-0.5,0.7,0.2,.006,,-3.1,-1.1,-4.2,-0.6
9,Taj Gibson\gibsota01,34,62,1025,16.1,.610,.049,.196,11.2,16.7,13.9,7.6,1.3,2.8,13.1,14.8,,1.8,0.8,2.6,.120,,-0.7,-0.4,-1.1,0.2
10,Damyean Dotson\dotsoda01,25,48,836,10.9,.527,.562,.114,1.2,10.6,5.8,10.0,1.3,0.5,6.5,16.5,,0.6,0.3,0.9,.053,,-0.9,-0.5,-1.4,0.1
11,Reggie Bullock\bullore01,28,29,684,9.3,.502,.496,.094,2.0,8.8,5.3,8.8,1.8,0.4,7.5,15.6,,0.2,0.3,0.5,.036,,-2.7,-0.3,-3.0,-0.2
12,Wayne Ellington\ellinwa01,32,36,558,8.5,.509,.822,.075,0.7,12.0,6.2,11.0,1.1,0.7,9.1,15.0,,0.2,0.2,0.4,.035,,-1.9,-1.0,-2.8,-0.1
13,Dennis Smith\smithde03,22,34,537,7.5,.399,.256,.251,4.1,11.7,7.7,26.4,2.5,1.4,19.8,23.1,,-1.3,0.5,-0.9,-0.079,,-5.2,-0.9,-6.1,-0.6
14,Allonzo Trier\trieral01,24,24,291,14.5,.620,.500,.406,2.1,8.7,5.3,14.8,0.5,1.3,15.0,21.4,,0.5,0.1,0.5,.087,,1.0,-1.5,-0.5,0.1
15,Maurice Harkless\harklma01,26,12,286,10.1,.536,.379,.364,2.9,12.3,7.5,9.7,1.5,1.0,8.4,12.4,,0.3,0.2,0.4,.069,,-3.1,-0.3,-3.5,-0.1
16,Kadeem Allen\allenka01,27,10,117,14.0,.512,.364,.250,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.053,,0.0,-0.6,-0.6,0.0
17,Ignas Brazdeikis\brazdig01,21,9,53,3.3,.351,.409,.227,3.9,6.2,5.0,10.6,0.0,1.8,7.6,21.0,,-0.1,0.0,-0.1,-0.109,,-5.0,-3.9,-8.9,-0.1
