Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Tobias Harris\harrito02,27,65,2243,16.8,.557,.309,.183,2.7,19.0,10.8,14.6,1.1,1.3,7.9,23.6,,3.0,2.6,5.6,.120,,1.0,-0.4,0.6,1.5
2,Ben Simmons\simmobe01,23,54,1930,20.8,.608,.010,.460,6.2,18.0,12.1,34.8,2.9,1.4,20.6,20.9,,3.8,3.2,7.0,.174,,1.4,2.4,3.9,2.9
3,Al Horford\horfoal01,33,60,1848,15.6,.526,.404,.112,5.5,19.1,12.3,19.2,1.4,2.5,8.7,17.6,,2.5,2.5,5.0,.130,,1.1,1.1,2.2,2.0
4,Josh Richardson\richajo01,26,48,1474,12.1,.526,.373,.223,2.8,9.4,6.1,14.8,1.5,2.0,12.6,21.1,,0.3,1.6,1.9,.062,,-1.5,-0.2,-1.7,0.1
5,Furkan Korkmaz\korkmfu01,22,64,1398,11.7,.571,.617,.140,1.3,10.4,5.8,7.3,1.3,0.9,8.7,18.5,,1.0,1.3,2.3,.079,,-0.6,-0.9,-1.5,0.2
6,Joel Embiid\embiijo01,25,44,1329,26.0,.593,.230,.545,10.1,33.1,21.6,17.3,1.4,3.7,13.4,32.6,,3.2,2.4,5.6,.203,,4.1,1.2,5.2,2.4
7,Mike Scott\scottmi01,31,63,1119,10.2,.539,.639,.094,5.7,16.5,11.1,5.9,0.8,0.4,6.7,13.8,,1.0,1.1,2.1,.089,,-1.2,-1.1,-2.3,-0.1
8,Matisse Thybulle\thybuma01,22,57,1110,9.8,.530,.607,.175,3.5,5.1,4.3,8.3,3.5,3.1,15.1,11.6,,0.1,1.8,1.9,.084,,-3.0,3.1,0.1,0.6
9,James Ennis\ennisja01,29,49,776,12.3,.564,.469,.270,6.8,14.5,10.7,7.4,1.4,1.5,10.9,15.8,,0.8,0.9,1.8,.109,,-1.6,0.0,-1.6,0.1
10,Shake Milton\miltosh01,23,32,611,15.2,.633,.488,.235,2.0,10.3,6.1,17.4,1.5,0.8,13.7,19.6,,1.1,0.6,1.7,.134,,0.3,-0.6,-0.3,0.3
11,Raul Neto\netora01,27,49,565,11.5,.562,.406,.177,2.1,8.0,5.1,19.3,1.9,0.8,18.2,17.6,,0.2,0.6,0.8,.071,,-1.8,-0.1,-1.9,0.0
12,Trey Burke\burketr01,27,25,329,15.4,.545,.299,.142,5.0,6.7,5.9,24.2,1.0,0.3,8.2,19.3,,0.6,0.2,0.9,.129,,0.7,-1.1,-0.5,0.1
13,Kyle O'Quinn\oquinky01,29,26,258,18.1,.541,.319,.264,13.7,28.3,21.0,19.1,0.9,7.3,18.3,16.5,,0.3,0.5,0.8,.155,,-0.7,2.2,1.5,0.2
14,Glenn Robinson\robingl02,26,12,227,14.9,.594,.296,.127,5.8,10.7,8.3,7.1,1.7,0.8,3.8,14.8,,0.5,0.2,0.7,.147,,-0.2,-0.9,-1.1,0.1
15,Alec Burks\burksal01,28,11,222,14.9,.527,.490,.270,3.0,14.9,9.0,13.4,1.8,0.0,7.4,23.5,,0.2,0.2,0.5,.103,,-0.2,-1.5,-1.7,0.0
16,Norvel Pelle\pelleno01,26,20,178,11.2,.521,.000,.343,9.9,27.3,18.6,5.3,0.3,12.0,24.4,12.9,,-0.1,0.4,0.3,.082,,-7.1,3.1,-4.1,-0.1
17,Zhaire Smith\smithzh01,20,7,32,1.1,.313,.273,.364,0.0,6.9,3.5,8.3,4.6,0.0,13.6,19.9,,-0.1,0.1,-0.1,-0.118,,-10.8,0.8,-10.0,-0.1
18,Jonah Bolden\boldejo01,24,4,14,-2.0,.515,.333,.667,0.0,7.9,3.9,0.0,3.5,0.0,34.0,18.1,,-0.1,0.0,0.0,-0.147,,-13.9,-0.7,-14.7,0.0
19,Marial Shayok\shayoma01,24,2,10,-2.0,.300,.600,.000,0.0,33.1,16.6,13.4,0.0,0.0,16.7,25.9,,-0.1,0.0,0.0,-0.227,,-8.7,-2.6,-11.3,0.0
