Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Kyle Lowry\lowryky01,33,52,1901,17.9,.589,.583,.399,1.7,12.0,7.0,31.0,1.8,1.1,15.0,23.1,,4.1,2.8,6.9,.173,,2.5,0.7,3.2,2.5
2,OG Anunoby\anunoog01,22,63,1897,13.2,.598,.408,.163,4.2,14.6,9.5,7.5,2.2,2.1,11.7,14.4,,1.8,3.3,5.1,.130,,-0.9,1.8,0.9,1.4
3,Pascal Siakam\siakapa01,25,53,1882,18.7,.559,.320,.275,3.3,18.8,11.2,17.0,1.3,2.5,10.5,28.5,,2.0,3.2,5.2,.133,,1.7,0.5,2.2,2.0
4,Fred VanVleet\vanvlfr01,25,48,1719,16.0,.546,.482,.237,1.1,9.7,5.5,27.4,2.5,0.7,12.4,22.0,,2.2,2.7,4.9,.136,,1.0,1.3,2.3,1.8
5,Serge Ibaka\ibakase01,30,50,1377,18.0,.593,.266,.191,8.2,23.3,15.9,8.8,0.8,2.9,12.9,24.1,,1.5,2.4,3.9,.136,,0.5,-0.1,0.4,0.9
6,Norman Powell\powelno01,26,44,1269,17.4,.629,.457,.252,2.0,11.2,6.7,9.7,2.1,1.3,10.0,21.5,,2.2,1.9,4.2,.157,,1.4,0.9,2.3,1.4
7,Terence Davis\daviste02,22,64,1087,14.5,.598,.568,.133,4.6,16.3,10.5,14.6,1.4,1.1,13.6,18.9,,1.4,1.6,3.0,.133,,0.7,0.6,1.3,0.9
8,Rondae Hollis-Jefferson\holliro01,25,52,998,15.5,.533,.058,.437,11.0,15.8,13.4,12.9,2.1,2.1,12.2,17.2,,1.4,1.8,3.2,.153,,-1.1,1.5,0.5,0.6
9,Marc Gasol\gasolma01,35,36,990,11.9,.546,.538,.153,3.2,20.8,12.2,16.9,1.3,3.2,14.6,12.7,,0.9,1.8,2.7,.128,,-0.9,2.7,1.8,0.9
10,Patrick McCaw\mccawpa01,24,37,908,7.3,.500,.438,.111,2.3,7.6,5.0,11.4,2.0,0.4,14.6,9.4,,0.2,1.2,1.4,.073,,-3.6,1.8,-1.8,0.0
11,Chris Boucher\bouchch01,27,55,724,19.8,.570,.381,.396,14.0,21.1,17.7,4.7,1.3,7.1,7.0,19.4,,1.7,1.5,3.2,.214,,0.4,1.0,1.4,0.6
12,Matt Thomas\thomama02,25,33,321,13.6,.650,.676,.090,2.4,13.2,7.9,7.9,1.2,0.0,9.4,17.0,,0.5,0.4,0.9,.137,,1.0,0.4,1.4,0.3
13,Oshae Brissett\brissos01,21,19,135,6.7,.458,.417,.278,7.2,13.0,10.2,7.0,1.4,0.7,14.8,15.0,,-0.1,0.2,0.1,.042,,-5.7,0.3,-5.4,-0.1
14,Malcolm Miller\millema01,26,25,125,4.7,.432,.792,.250,0.9,10.8,5.9,8.3,1.5,1.5,10.1,10.1,,-0.1,0.2,0.1,.037,,-4.3,1.4,-2.9,0.0
15,Stanley Johnson\johnsst04,23,20,96,3.1,.342,.419,.194,3.4,20.5,12.1,11.0,2.0,2.0,19.2,18.6,,-0.3,0.2,-0.1,-0.068,,-7.9,1.4,-6.5,-0.1
16,Shamorie Ponds\pondssh01,21,4,11,33.2,.765,.400,.400,0.0,9.4,4.8,32.1,0.0,8.8,0.0,22.9,,0.1,0.0,0.1,.451,,8.4,5.3,13.7,0.0
17,Dewan Hernandez\hernade01,23,4,11,4.2,.340,.200,.400,19.6,47.0,33.6,0.0,4.3,0.0,14.5,26.8,,0.0,0.0,0.0,.003,,-18.3,-3.0,-21.3,-0.1
18,Paul Watson\watsopa01,25,3,8,13.6,.266,1.000,2.000,0.0,25.9,13.2,29.8,0.0,12.1,0.0,10.1,,0.0,0.0,0.0,.114,,1.1,5.8,6.9,0.0
