No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Terence Davis,SG,6-4,205,May 16 1997,us,R,Ole Miss
3,OG Anunoby,SF,6-7,232,July 17 1997,gb,2,Indiana
25,Chris Boucher,PF,6-9,200,January 11 1993,lc,2,Oregon
43,Pascal Siakam,PF,6-9,230,April 2 1994,cm,3,New Mexico State
7,Kyle Lowry,PG,6-0,196,March 25 1986,us,13,Villanova
4,Rondae Hollis-Jefferson,SF,6-6,217,January 3 1995,us,4,Arizona
9,Serge Ibaka,C,7-0,235,September 18 1989,cg,10,
23,Fred VanVleet,PG,6-1,195,February 25 1994,us,3,Wichita State
24,Norman Powell,SG,6-3,215,May 25 1993,us,4,UCLA
22,Patrick McCaw,SF,6-7,185,October 25 1995,us,3,UNLV
33,Marc Gasol,C,6-11,255,January 29 1985,es,11,
21,Matt Thomas,SG,6-4,190,August 4 1994,us,R,Iowa State
13,Malcolm Miller,SF,6-7,210,March 6 1993,us,2,Holy Cross
5,Stanley Johnson,PF,6-6,245,May 29 1996,us,4,Arizona
12,Oshae Brissett  (TW),SF,6-7,210,June 20 1998,ca,R,Syracuse
20,Dewan Hernandez,C,6-10,235,December 9 1996,us,R,Miami (FL)
1,Paul Watson  (TW),SF,6-7,215,December 30 1994,us,R,Fresno State
