No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Coby White,SG,6-4,185,February 16 2000,us,R,UNC
31,Tomáš Satoranský,PG,6-7,198,October 30 1991,cz,3,
21,Thaddeus Young,PF,6-8,220,June 21 1988,us,12,Georgia Tech
8,Zach LaVine,SG,6-6,181,March 10 1995,us,5,UCLA
51,Ryan Arcidiacono,PG,6-3,195,March 26 1994,us,2,Villanova
32,Kris Dunn,PG,6-3,205,March 18 1994,us,3,Providence
24,Lauri Markkanen,PF,7-0,240,May 22 1997,fi,2,Arizona
34,Wendell Carter Jr.,C,6-9,259,April 16 1999,us,1,Duke
12,Daniel Gafford,C,6-10,234,October 1 1998,us,R,Arkansas
3,Shaquille Harrison,SF,6-7,190,October 6 1993,us,2,Tulsa
45,Denzel Valentine,SF,6-4,210,November 16 1993,us,2,Michigan State
2,Luke Kornet,C,7-2,240,July 15 1995,us,2,Vanderbilt
15,Chandler Hutchison,SF,6-7,196,April 26 1996,us,1,Boise State
6,Cristiano Felício,PF,6-10,270,July 7 1992,br,4,
22,Otto Porter,SF,6-8,198,June 3 1993,us,6,Georgetown
20,Adam Mokoka  (TW),SG,6-5,190,July 18 1998,fr,R,
28,Max Strus  (TW),SG,6-6,215,March 28 1996,us,R,Lewis (IL) DePaul
