Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Langston Galloway\gallola01,28,66,1702,12.3,.584,.611,.157,2.2,7.8,5.0,8.8,1.4,0.5,6.5,15.9,,2.4,0.7,3.1,.087,,0.1,-0.9,-0.8,0.5
2,Andre Drummond\drumman01,26,49,1654,22.1,.550,.031,.376,15.3,38.2,26.6,14.0,2.9,4.2,18.0,25.5,,0.7,3.3,4.0,.116,,0.0,1.2,1.1,1.3
3,Tony Snell\snellto01,28,59,1641,9.7,.598,.665,.084,0.6,7.1,3.8,10.9,1.0,0.8,7.3,11.4,,2.1,0.5,2.6,.076,,-1.1,-0.6,-1.8,0.1
4,Bruce Brown\brownbr01,23,58,1634,11.9,.518,.215,.266,4.2,15.0,9.5,20.4,1.9,1.5,16.7,16.0,,0.8,1.4,2.1,.062,,-2.0,0.8,-1.2,0.3
5,Christian Wood\woodch01,24,62,1325,23.2,.659,.276,.476,8.8,24.8,16.7,7.6,1.3,3.4,12.0,23.0,,3.6,1.5,5.1,.184,,3.5,-0.3,3.1,1.7
6,Derrick Rose\rosede01,31,50,1298,21.1,.555,.195,.185,2.3,8.3,5.3,40.5,1.5,1.0,13.4,31.6,,1.9,0.6,2.5,.093,,4.0,-1.7,2.2,1.4
7,Sviatoslav Mykhailiuk\mykhasv01,22,56,1265,11.2,.578,.704,.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,,1.0,0.6,1.6,.060,,-0.7,-1.2,-1.8,0.0
8,Markieff Morris\morrima02,30,44,988,12.7,.573,.486,.203,2.7,17.3,9.9,11.0,1.3,0.9,14.2,21.8,,0.3,0.7,1.0,.049,,-1.0,-1.0,-2.1,0.0
9,Luke Kennard\kennalu01,23,28,922,14.4,.589,.535,.219,1.1,11.1,6.0,19.2,0.6,0.5,10.3,19.8,,1.6,0.3,1.9,.100,,1.1,-1.4,-0.3,0.4
10,Thon Maker\makerth01,22,60,776,13.7,.582,.332,.570,7.8,16.7,12.2,8.0,1.6,4.2,15.7,16.1,,0.7,0.8,1.5,.096,,-2.0,0.7,-1.4,0.1
11,Sekou Doumbouya\doumbse01,19,38,754,6.2,.474,.415,.195,3.0,14.9,8.9,3.6,1.3,0.9,12.0,16.9,,-0.8,0.5,-0.3,-0.020,,-5.2,-1.5,-6.7,-0.9
12,Blake Griffin\griffbl01,30,18,512,11.9,.476,.444,.392,3.7,15.0,9.3,18.0,0.7,1.1,12.0,28.4,,-0.4,0.2,-0.1,-0.012,,-1.7,-2.6,-4.2,-0.3
13,Reggie Jackson\jacksre01,29,14,381,14.8,.492,.414,.167,3.2,9.1,6.1,30.8,1.0,0.2,9.8,27.0,,0.3,0.1,0.4,.047,,1.7,-2.2,-0.5,0.1
14,Tim Frazier\fraziti01,29,27,355,9.8,.464,.319,.255,2.8,7.8,5.3,36.5,1.9,0.9,25.6,17.3,,-0.1,0.2,0.1,.016,,-2.9,-1.6,-4.5,-0.2
15,Brandon Knight\knighbr03,28,9,221,11.9,.576,.827,.259,0.5,10.4,5.4,25.6,1.1,0.4,19.6,22.2,,0.1,0.1,0.2,.046,,0.5,-2.5,-2.0,0.0
16,John Henson\hensojo01,29,11,188,17.1,.670,.098,.255,8.3,20.8,14.5,9.3,2.1,4.5,20.9,16.7,,0.2,0.2,0.4,.110,,-1.1,1.7,0.6,0.1
17,Jordan McRae\mcraejo01,28,4,98,6.5,.446,.372,.512,0.0,17.6,8.7,10.7,0.0,0.0,8.7,25.7,,-0.1,0.0,-0.1,-0.053,,-5.6,-4.2,-9.8,-0.2
18,Louis King\kinglo02,20,10,62,6.3,.448,.524,.143,1.8,16.7,9.2,11.8,1.6,0.0,8.2,17.1,,-0.1,0.0,0.0,-0.007,,-5.1,-1.1,-6.2,-0.1
19,Khyri Thomas\thomakh01,23,8,61,3.2,.453,.824,.235,1.8,0.0,0.9,6.7,2.4,0.0,13.8,15.6,,-0.1,0.0,0.0,-0.038,,-6.1,-1.8,-7.9,-0.1
20,Jordan Bone\bonejo01,22,10,53,0.8,.300,.500,.000,0.0,8.7,4.3,21.0,0.9,0.0,9.1,18.1,,-0.1,0.0,-0.1,-0.118,,-9.0,-2.9,-11.9,-0.1
21,Donta Hall\halldo01,22,4,48,7.3,.452,.000,1.500,14.0,21.6,17.7,5.3,1.0,1.7,23.1,7.9,,0.0,0.0,0.1,.067,,-5.6,-1.4,-7.1,-0.1
22,Derrick Walton\waltode01,24,3,26,11.3,.500,1.000,.000,0.0,4.4,2.2,24.8,5.7,0.0,25.0,6.7,,0.0,0.0,0.1,.104,,-2.8,4.6,1.8,0.0
