No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Langston Galloway,SG,6-1,200,December 9 1991,us,5,Saint Joseph's
35,Christian Wood,PF,6-10,214,September 27 1995,us,3,UNLV
7,Thon Maker,C,7-0,221,February 25 1997,ss,3,
17,Tony Snell,SF,6-6,213,November 10 1991,us,6,New Mexico
6,Bruce Brown,SG,6-4,202,August 15 1996,us,1,Miami (FL)
19,Sviatoslav Mykhailiuk,SF,6-7,205,June 10 1997,ua,1,Kansas
25,Derrick Rose,PG,6-2,200,October 4 1988,us,10,Memphis
45,Sekou Doumbouya,SF,6-8,209,December 23 2000,gn,R,
5,Luke Kennard,SG,6-5,206,June 24 1996,us,2,Duke
23,Blake Griffin,PF,6-9,250,March 16 1989,us,9,Oklahoma
31,John Henson,PF,6-9,219,December 28 1990,us,7,UNC
14,Louis King  (TW),SF,6-7,195,April 6 1999,us,R,Oregon
18,Jordan Bone  (TW),PG,6-3,179,November 5 1997,us,R,Tennessee
20,Brandon Knight,PG,6-2,195,December 2 1991,us,7,Kentucky
13,Khyri Thomas,SG,6-3,210,May 8 1996,us,1,Creighton
52,Jordan McRae,SG,6-5,179,March 28 1991,us,3,Tennessee
,Justin Patton,C,6-11,241,June 14 1997,us,2,Creighton
