Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Domantas Sabonis\sabondo01,23,62,2159,20.7,.586,.079,.349,9.7,29.5,19.7,21.7,1.1,1.2,14.8,23.4,,4.2,3.3,7.6,.168,,2.1,1.1,3.2,2.9
2,T.J. Warren\warretj01,26,61,1984,17.2,.599,.212,.214,3.4,10.0,6.7,6.8,1.7,1.2,7.5,22.8,,3.1,2.2,5.3,.129,,0.4,-0.2,0.2,1.1
3,Myles Turner\turnemy01,23,55,1628,14.7,.561,.443,.279,4.8,19.5,12.2,5.1,1.3,6.5,10.5,17.5,,1.0,2.8,3.7,.111,,-0.9,1.1,0.2,0.9
4,Justin Holiday\holidju01,30,65,1617,12.7,.598,.667,.137,2.1,11.9,7.0,7.1,2.3,2.3,8.0,13.5,,1.7,2.2,4.0,.117,,0.0,1.7,1.6,1.5
5,Malcolm Brogdon\brogdma01,27,48,1472,17.8,.537,.296,.246,3.0,13.8,8.5,34.5,1.1,0.5,13.6,25.2,,2.0,1.4,3.5,.113,,2.2,-0.5,1.7,1.4
6,Aaron Holiday\holidaa01,23,58,1368,11.7,.517,.409,.145,1.7,8.9,5.3,19.5,1.6,0.8,12.4,19.4,,0.4,1.4,1.7,.060,,-1.4,-0.3,-1.7,0.1
7,Jeremy Lamb\lambje01,27,46,1291,14.1,.547,.330,.230,2.1,14.9,8.5,10.5,2.1,1.5,8.7,19.7,,0.9,1.8,2.7,.099,,-1.1,0.7,-0.4,0.5
8,Doug McDermott\mcderdo01,28,62,1242,14.3,.626,.540,.106,2.1,11.7,6.9,8.3,0.4,0.3,7.2,19.6,,2.1,0.9,3.0,.115,,1.5,-1.5,0.0,0.6
9,T.J. McConnell\mccontj01,27,63,1188,16.2,.541,.041,.099,3.0,12.1,7.6,37.2,1.8,0.8,18.5,17.2,,1.6,1.4,2.9,.119,,0.1,0.2,0.3,0.7
10,Goga Bitadze\bitadgo01,20,49,410,12.2,.530,.279,.256,6.0,19.8,12.9,7.1,0.7,6.9,14.8,18.1,,-0.1,0.7,0.6,.069,,-4.0,1.5,-2.5,0.0
11,Edmond Sumner\sumneed01,24,25,345,10.0,.485,.342,.135,3.2,8.6,5.9,15.4,2.1,2.0,13.9,17.4,,-0.1,0.4,0.3,.039,,-3.6,0.4,-3.1,-0.1
12,JaKarr Sampson\sampsja02,26,26,340,11.8,.607,.160,.247,4.9,14.2,9.6,3.6,1.3,2.3,7.2,12.5,,0.4,0.4,0.8,.117,,-2.7,0.8,-1.8,0.0
13,Victor Oladipo\oladivi01,27,13,337,12.0,.500,.429,.255,2.3,11.0,6.7,16.9,1.6,0.8,13.5,27.0,,-0.3,0.4,0.1,.008,,-1.7,-1.3,-3.0,-0.1
14,T.J. Leaf\leaftj01,22,25,193,13.8,.485,.203,.174,12.1,24.4,18.3,4.3,2.0,1.4,8.6,18.5,,0.0,0.3,0.4,.088,,-1.4,-0.1,-1.5,0.0
15,Alize Johnson\johnsal02,23,13,54,10.8,.510,.000,.400,14.4,22.3,18.4,5.0,0.0,0.0,14.5,16.8,,0.0,0.1,0.1,.070,,-3.2,-1.6,-4.8,0.0
16,Naz Mitrou-Long\mitrona01,26,3,43,10.1,.438,.688,.000,0.0,15.3,7.7,22.2,1.1,2.0,11.1,18.4,,0.0,0.0,0.0,.015,,-1.9,2.4,0.5,0.0
17,Brian Bowen\bowenbr02,21,5,29,-2.0,.222,.222,.000,3.8,22.7,13.3,0.0,0.0,3.0,10.0,15.2,,-0.1,0.0,-0.1,-0.154,,-9.7,-2.1,-11.8,-0.1
