No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
8,Justin Holiday,SG,6-6,181,April 5 1989,us,6,Washington
9,T.J. McConnell,PG,6-1,190,March 25 1992,us,4,Duquesne Arizona
11,Domantas Sabonis,C,6-11,240,May 3 1996,us,3,Gonzaga
20,Doug McDermott,PF,6-7,225,January 3 1992,us,5,Creighton
1,T.J. Warren,SF,6-8,215,September 5 1993,us,5,NC State
3,Aaron Holiday,PG,6-0,185,September 30 1996,us,1,UCLA
33,Myles Turner,C,6-11,250,March 24 1996,us,4,Texas
88,Goga Bitadze,C,6-11,245,July 20 1999,ge,R,
7,Malcolm Brogdon,PG,6-5,229,December 11 1992,us,3,Virginia
26,Jeremy Lamb,SG,6-5,185,May 30 1992,us,7,UConn
14,JaKarr Sampson,SF,6-7,215,March 20 1993,us,4,St. John's
5,Edmond Sumner,PG,6-4,176,December 31 1995,us,2,Xavier
22,T.J. Leaf,PF,6-10,225,April 30 1997,il,2,UCLA
4,Victor Oladipo,SG,6-4,210,May 4 1992,us,6,Indiana
24,Alize Johnson,SF,6-7,212,April 22 1996,us,1,Missouri State
10,Brian Bowen  (TW),SG,6-6,190,October 2 1998,us,R,
15,Naz Mitrou-Long  (TW),SG,6-3,218,August 3 1993,ca,2,Iowa State
