Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Giannis Antetokounmpo\antetgi01,25,57,1763,31.6,.608,.238,.500,7.8,34.5,22.0,33.9,1.5,2.9,13.1,37.4,,5.6,4.8,10.4,.282,,7.4,4.1,11.5,6.0
2,Khris Middleton\middlkh01,28,55,1653,21.4,.619,.374,.231,2.5,17.0,10.2,21.0,1.4,0.4,10.8,26.2,,4.3,3.1,7.4,.214,,3.4,0.9,4.4,2.7
3,Brook Lopez\lopezbr01,31,61,1622,14.0,.537,.497,.212,2.7,13.2,8.3,7.8,1.2,8.0,9.2,17.5,,0.8,3.9,4.6,.137,,-1.1,2.8,1.8,1.5
4,Wesley Matthews\matthwe02,33,62,1529,8.4,.545,.691,.157,1.4,8.5,5.2,7.4,1.1,0.5,8.7,12.7,,0.8,2.4,3.1,.099,,-2.5,0.8,-1.7,0.1
5,Eric Bledsoe\bledser01,30,56,1524,18.1,.579,.304,.292,2.8,13.3,8.4,28.5,1.6,1.4,15.8,24.0,,2.4,2.9,5.3,.168,,1.1,1.1,2.2,1.6
6,Donte DiVincenzo\divindo01,23,59,1362,15.0,.570,.489,.173,4.6,15.7,10.5,13.3,2.7,1.2,12.9,16.9,,1.4,3.1,4.5,.158,,-0.6,2.7,2.1,1.4
7,Pat Connaughton\connapa01,27,61,1119,11.2,.558,.525,.138,5.3,16.9,11.4,10.6,0.8,2.3,14.5,11.9,,0.9,2.1,3.0,.130,,-1.1,1.6,0.5,0.7
8,George Hill\hillge01,33,52,1103,17.5,.668,.452,.247,4.3,9.2,6.9,18.4,1.7,0.3,11.6,15.8,,3.2,1.9,5.1,.220,,1.8,1.4,3.2,1.5
9,Ersan İlyasova\ilyaser01,32,56,895,15.2,.591,.428,.259,7.1,22.5,15.2,7.0,1.2,1.4,9.3,16.4,,1.5,1.9,3.4,.180,,-0.2,0.8,0.6,0.6
10,Robin Lopez\lopezro01,31,60,862,11.1,.565,.352,.158,6.3,10.2,8.4,6.4,0.5,4.1,15.6,16.6,,0.2,1.5,1.7,.095,,-2.4,0.5,-1.9,0.0
11,Kyle Korver\korveky01,38,50,833,11.2,.613,.799,.131,1.8,10.1,6.2,9.5,1.2,1.3,13.3,15.7,,0.8,1.4,2.2,.125,,-0.5,0.7,0.2,0.5
12,Sterling Brown\brownst02,24,45,665,9.3,.478,.523,.161,4.4,19.2,12.3,8.8,1.5,0.9,13.4,16.7,,-0.4,1.3,1.0,.071,,-3.1,1.0,-2.0,0.0
13,D.J. Wilson\wilsodj01,23,31,280,8.4,.476,.545,.089,3.8,19.3,12.0,10.3,0.3,1.6,12.5,17.7,,-0.2,0.5,0.3,.055,,-3.9,0.3,-3.6,-0.1
14,Marvin Williams\willima02,33,11,203,9.7,.540,.692,.103,2.6,15.6,9.5,9.0,2.0,1.7,6.9,8.9,,0.2,0.4,0.6,.148,,-2.0,3.4,1.4,0.2
15,Thanasis Antetokounmpo\antetth01,27,18,93,14.2,.528,.194,.417,12.4,8.0,10.1,13.8,2.9,1.9,20.5,23.8,,0.0,0.2,0.2,.083,,-4.0,1.7,-2.3,0.0
16,Dragan Bender\bendedr01,22,7,91,8.5,.582,.429,.143,0.0,20.5,10.9,12.5,0.0,4.8,18.3,12.4,,0.0,0.2,0.2,.110,,-4.3,3.0,-1.3,0.0
17,Frank Mason\masonfr01,25,6,53,4.2,.337,.526,.211,6.0,8.8,7.5,25.6,1.7,0.0,22.4,20.8,,-0.2,0.1,-0.1,-0.060,,-7.5,-0.9,-8.4,-0.1
