No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
9,Wesley Matthews,SG,6-4,220,October 14 1986,us,10,Marquette
11,Brook Lopez,C,7-0,270,April 1 1988,us,11,Stanford
24,Pat Connaughton,SG,6-5,209,January 6 1993,us,4,Notre Dame
42,Robin Lopez,C,7-0,275,April 1 1988,us,11,Stanford
0,Donte DiVincenzo,SG,6-4,203,January 31 1997,us,1,Villanova
34,Giannis Antetokounmpo,PF,6-11,242,December 6 1994,gr,6,
6,Eric Bledsoe,PG,6-1,205,December 9 1989,us,9,Kentucky
7,Ersan İlyasova,PF,6-9,235,May 15 1987,tr,11,
22,Khris Middleton,SF,6-7,222,August 12 1991,us,7,Texas A&M
3,George Hill,PG,6-3,188,May 4 1986,us,11,IUPUI
26,Kyle Korver,SF,6-7,212,March 17 1981,us,16,Creighton
23,Sterling Brown,SF,6-5,232,February 10 1995,us,2,SMU
5,D.J. Wilson,PF,6-10,231,February 19 1996,us,2,Michigan
43,Thanasis Antetokounmpo,SF,6-6,205,July 18 1992,gr,1,
20,Marvin Williams,PF,6-8,237,June 19 1986,us,14,UNC
15,Frank Mason III  (TW),PG,5-11,190,April 3 1994,us,2,Kansas
,Cameron Reynolds  (TW),G,6-7,225,February 7 1995,us,1,Tulane
