Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Giannis Antetokounmpo\antetgi01,25,57,57,30.9,10.9,20.0,.547,1.5,4.8,.306,9.5,15.2,.622,.583,6.3,10.0,.633,2.3,11.5,13.7,5.8,1.0,1.0,3.7,3.0,29.6
2,Khris Middleton\middlkh01,28,55,52,30.1,7.7,15.5,.499,2.4,5.8,.418,5.3,9.7,.547,.577,3.2,3.6,.908,0.7,5.5,6.2,4.1,0.9,0.1,2.1,2.2,21.1
3,Eric Bledsoe\bledser01,30,56,56,27.2,5.7,11.8,.482,1.3,3.6,.348,4.4,8.2,.540,.535,2.8,3.4,.813,0.7,3.9,4.6,5.4,0.9,0.4,2.5,2.1,15.4
4,Brook Lopez\lopezbr01,31,61,60,26.6,4.0,9.4,.427,1.4,4.7,.296,2.6,4.7,.557,.501,1.6,2.0,.810,0.7,3.8,4.5,1.6,0.7,2.4,1.0,2.4,11.0
5,Wesley Matthews\matthwe02,33,62,62,24.7,2.6,6.5,.397,1.6,4.5,.365,0.9,2.0,.468,.522,0.8,1.0,.762,0.3,2.2,2.6,1.5,0.6,0.1,0.7,1.5,7.5
6,Donte DiVincenzo\divindo01,23,59,22,23.1,3.5,7.7,.462,1.3,3.7,.344,2.3,3.9,.576,.546,1.0,1.3,.769,1.0,3.9,4.9,2.3,1.4,0.3,1.2,1.6,9.4
7,George Hill\hillge01,33,52,0,21.2,3.4,6.5,.530,1.4,2.9,.480,2.0,3.5,.571,.638,1.3,1.6,.831,0.9,2.1,3.0,2.9,0.8,0.1,0.9,1.4,9.6
8,Marvin Williams\willima02,33,11,0,18.5,1.5,3.5,.410,0.7,2.5,.296,0.7,1.1,.667,.513,0.4,0.4,1.000,0.5,3.1,3.5,1.4,0.8,0.4,0.3,2.1,4.0
9,Pat Connaughton\connapa01,27,61,1,18.3,2.0,4.3,.456,0.7,2.2,.321,1.2,2.0,.605,.540,0.4,0.6,.750,0.9,3.3,4.2,1.6,0.3,0.5,0.8,1.0,5.1
10,Kyle Korver\korveky01,38,50,0,16.7,2.2,5.2,.429,1.7,4.1,.415,0.5,1.0,.481,.595,0.6,0.7,.824,0.3,1.8,2.1,1.2,0.4,0.2,0.8,1.4,6.7
11,Ersan İlyasova\ilyaser01,32,56,8,16.0,2.4,5.2,.472,0.8,2.2,.371,1.6,3.0,.548,.552,1.1,1.3,.827,1.1,3.9,4.9,0.8,0.4,0.3,0.6,1.6,6.8
12,Sterling Brown\brownst02,24,45,1,14.8,1.8,4.8,.367,0.8,2.5,.316,1.0,2.3,.423,.450,0.6,0.8,.771,0.6,3.0,3.7,1.0,0.5,0.2,0.8,1.0,5.0
13,Robin Lopez\lopezro01,31,60,4,14.4,2.3,4.6,.502,0.6,1.6,.344,1.7,3.0,.588,.562,0.4,0.7,.535,0.9,1.6,2.4,0.7,0.2,0.7,0.9,1.3,5.5
14,Dragan Bender\bendedr01,22,7,0,13.0,1.4,3.0,.476,0.6,1.3,.444,0.9,1.7,.500,.571,0.3,0.4,.667,0.0,2.9,2.9,1.3,0.0,0.7,0.7,2.3,3.7
15,D.J. Wilson\wilsodj01,23,31,0,9.0,1.3,3.3,.396,0.5,1.8,.255,0.8,1.5,.565,.465,0.2,0.3,.667,0.3,1.9,2.2,0.7,0.1,0.2,0.5,0.8,3.2
16,Frank Mason\masonfr01,25,6,0,8.8,0.8,3.2,.263,0.3,1.7,.200,0.5,1.5,.333,.316,0.3,0.7,.500,0.5,0.8,1.3,1.8,0.3,0.0,1.0,0.7,2.3
17,Thanasis Antetokounmpo\antetth01,27,18,2,5.2,1.1,2.0,.528,0.0,0.4,.000,1.1,1.6,.655,.528,0.4,0.8,.467,0.6,0.4,1.1,0.5,0.3,0.1,0.6,0.7,2.5
