Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Bam Adebayo\adebaba01,22,65,65,34.4,6.3,11.1,.567,0.0,0.2,.077,6.3,10.9,.576,.568,3.6,5.3,.690,2.5,8.0,10.5,5.1,1.2,1.3,2.8,2.5,16.2
2,Jimmy Butler\butleji01,30,54,54,34.3,6.1,13.4,.454,0.5,2.2,.248,5.5,11.2,.494,.474,7.6,9.1,.833,1.8,4.8,6.6,6.1,1.7,0.5,2.2,1.4,20.2
3,Justise Winslow\winslju01,23,11,5,32.0,4.5,11.7,.388,0.5,2.5,.222,4.0,9.3,.431,.411,1.6,2.5,.667,1.5,5.2,6.6,4.0,0.6,0.5,2.2,3.5,11.3
4,Duncan Robinson\robindu01,25,65,60,30.0,4.4,9.4,.467,3.7,8.4,.448,0.7,1.1,.614,.665,0.7,0.8,.906,0.1,3.1,3.3,1.4,0.5,0.2,0.9,2.8,13.3
5,Kendrick Nunn\nunnke01,24,62,62,29.8,6.1,13.7,.448,2.1,5.8,.362,4.0,7.9,.512,.525,1.2,1.5,.837,0.3,2.4,2.7,3.4,0.8,0.2,1.6,2.3,15.6
6,Jae Crowder\crowdja01,29,13,1,28.7,3.8,8.8,.439,2.7,6.8,.393,1.2,1.9,.600,.592,1.5,2.0,.769,0.6,5.2,5.8,2.0,1.5,0.5,0.6,3.2,11.9
7,Goran Dragić\dragigo01,33,54,1,28.4,5.4,12.3,.437,2.2,5.8,.377,3.2,6.5,.491,.526,3.1,4.1,.769,0.5,2.6,3.1,5.1,0.6,0.1,2.5,1.9,16.1
8,Tyler Herro\herroty01,20,47,6,27.2,4.7,11.3,.414,2.1,5.4,.391,2.6,5.9,.434,.507,1.4,1.7,.835,0.3,3.7,4.0,1.9,0.6,0.1,1.5,1.3,12.9
9,Derrick Jones\jonesde02,22,51,15,24.5,3.3,6.3,.514,0.7,2.5,.270,2.6,3.9,.670,.567,1.7,2.2,.779,1.1,3.1,4.2,1.1,1.1,0.7,0.5,2.2,8.9
10,Meyers Leonard\leoname01,27,49,49,20.1,2.4,4.6,.520,1.0,2.4,.429,1.3,2.1,.625,.635,0.3,0.5,.654,0.6,4.5,5.1,1.1,0.3,0.3,0.7,2.1,6.1
11,Andre Iguodala\iguodan01,36,14,0,18.5,1.8,3.6,.490,0.6,1.7,.375,1.1,1.9,.593,.578,0.1,0.6,.250,0.7,3.1,3.8,2.0,0.6,1.1,1.2,2.0,4.4
12,Kelly Olynyk\olynyke01,28,59,6,18.5,2.6,5.4,.476,1.4,3.1,.432,1.2,2.2,.538,.603,1.2,1.4,.854,0.6,3.8,4.4,1.6,0.6,0.3,1.1,2.4,7.7
13,James Johnson\johnsja01,32,18,0,15.6,2.2,4.8,.448,0.9,2.5,.356,1.3,2.3,.548,.540,0.4,0.8,.571,0.4,2.4,2.9,1.2,0.3,0.7,0.8,1.9,5.7
14,Solomon Hill\hillso01,28,6,1,15.2,0.7,2.5,.267,0.5,1.5,.333,0.2,1.0,.167,.367,0.7,0.7,1.000,0.5,1.2,1.7,0.7,0.8,0.8,1.2,0.8,2.5
15,Dion Waiters\waitedi01,28,3,0,14.0,3.3,8.7,.385,2.7,5.7,.471,0.7,3.0,.222,.538,0.0,0.3,.000,0.0,3.7,3.7,1.0,0.0,0.7,1.0,1.7,9.3
16,Chris Silva\silvach01,23,41,0,7.5,1.0,1.7,.623,0.0,0.0,.000,1.0,1.6,.642,.623,0.8,1.2,.694,1.3,1.3,2.7,0.5,0.2,0.4,0.8,2.0,2.9
17,Udonis Haslem\hasleud01,39,3,0,7.0,0.3,2.0,.167,0.0,0.7,.000,0.3,1.3,.250,.167,1.0,1.3,.750,0.0,2.7,2.7,0.3,0.0,0.0,0.0,1.0,1.7
18,Gabe Vincent\vincega01,23,6,0,7.0,0.7,3.2,.211,0.7,2.7,.250,0.0,0.5,.000,.316,0.0,0.0,,0.0,0.5,0.5,0.5,0.2,0.0,0.0,0.3,2.0
19,KZ Okpala\okpalkz01,20,5,0,5.2,0.6,1.0,.600,0.0,0.2,.000,0.6,0.8,.750,.600,0.2,0.4,.500,0.2,0.8,1.0,0.2,0.4,0.2,0.2,0.4,1.4
20,Daryl Macon\maconda01,24,4,0,3.5,0.3,0.8,.333,0.3,0.5,.500,0.0,0.3,.000,.500,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.3,0.8
