Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Evan Fournier\fournev01,27,61,1931,16.7,.599,.467,.236,0.9,8.1,4.4,16.5,1.8,0.7,11.1,24.2,,2.7,1.7,4.4,.110,,1.5,-0.3,1.2,1.6
2,Aaron Gordon\gordoaa01,24,58,1914,14.8,.511,.311,.280,5.6,19.6,12.4,17.2,1.3,1.7,10.3,20.6,,1.2,2.2,3.3,.084,,-0.3,0.1,-0.3,0.8
3,Markelle Fultz\fultzma01,21,64,1813,14.4,.523,.175,.209,2.0,10.9,6.3,28.8,2.2,0.5,15.1,20.7,,0.8,1.9,2.7,.071,,-1.9,0.2,-1.7,0.1
4,Nikola Vučević\vucevni01,29,54,1763,21.6,.540,.274,.160,7.6,29.4,18.1,20.0,1.3,2.4,7.3,25.8,,2.9,2.6,5.5,.150,,3.4,0.6,4.0,2.7
5,Terrence Ross\rosste01,28,63,1723,14.2,.548,.584,.207,0.8,12.3,6.3,6.8,2.0,1.2,6.8,22.8,,1.0,1.8,2.9,.080,,0.0,-0.3,-0.4,0.7
6,D.J. Augustin\augusdj01,32,49,1215,14.2,.548,.438,.395,1.5,8.3,4.8,26.7,1.2,0.1,12.9,19.1,,1.8,0.8,2.6,.101,,-0.3,-1.0,-1.4,0.2
7,Jonathan Isaac\isaacjo01,22,32,949,16.9,.542,.283,.227,6.2,19.3,12.6,7.0,2.6,7.4,11.7,18.3,,0.4,1.9,2.3,.114,,-0.8,2.9,2.0,1.0
8,Mohamed Bamba\bambamo01,21,60,868,17.8,.549,.369,.163,11.7,25.7,18.5,7.3,1.2,8.9,12.2,17.2,,0.9,1.7,2.5,.140,,-1.1,1.7,0.5,0.6
9,Wesley Iwundu\iwundwe01,25,45,810,9.9,.521,.345,.392,2.9,12.4,7.5,7.9,1.5,1.2,7.3,13.1,,0.6,0.8,1.4,.080,,-3.1,0.2,-2.9,-0.2
10,Khem Birch\birchkh01,27,40,777,10.1,.529,.009,.583,9.3,15.7,12.4,6.1,1.0,2.4,13.7,9.3,,0.7,0.8,1.5,.092,,-3.3,0.3,-3.0,-0.2
11,Michael Carter-Williams\cartemi01,28,42,773,15.7,.539,.281,.360,5.9,13.8,9.7,19.4,2.8,2.3,14.6,18.4,,0.7,1.1,1.9,.116,,-1.3,1.7,0.4,0.5
12,Al-Farouq Aminu\aminual01,29,18,380,7.6,.395,.419,.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.016,,-4.5,1.4,-3.1,-0.1
13,James Ennis\ennisja01,29,12,277,9.4,.537,.485,.250,4.9,14.4,9.5,6.6,1.1,2.0,13.7,13.7,,0.1,0.3,0.3,.060,,-3.7,-1.3,-5.0,-0.2
14,Gary Clark\clarkga01,25,17,213,8.8,.490,.833,.048,7.8,15.1,11.3,1.9,0.7,3.0,6.5,9.3,,0.1,0.2,0.3,.070,,-2.7,-1.3,-3.9,-0.1
15,Amile Jefferson\jeffeam01,26,18,74,8.9,.372,.000,1.000,14.0,19.5,16.7,7.2,0.7,3.7,13.0,13.5,,0.0,0.1,0.0,.023,,-4.9,-1.0,-5.9,-0.1
16,Melvin Frazier\frazime01,23,15,51,7.5,.480,.412,.235,2.0,6.5,4.2,2.8,3.8,3.5,13.8,18.5,,-0.1,0.1,0.0,.003,,-6.0,1.5,-4.5,0.0
17,B.J. Johnson\johnsbj01,24,8,46,2.5,.344,.333,.111,2.3,12.1,7.0,6.1,2.1,0.0,13.7,20.6,,-0.2,0.0,-0.1,-0.132,,-7.2,-2.5,-9.7,-0.1
18,Josh Magette\magetjo01,30,8,38,5.1,.378,.267,.133,2.7,14.6,8.5,19.2,3.9,2.4,23.9,23.8,,-0.2,0.1,-0.1,-0.126,,-8.0,1.6,-6.4,0.0
19,Vic Law\lawvi01,24,5,9,-16.6,.000,.333,.667,0.0,12.4,6.0,0.0,0.0,0.0,0.0,18.6,,-0.1,0.0,-0.1,-0.456,,-17.0,-8.2,-25.2,-0.1
