Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Aaron Gordon\gordoaa01,24,58,58,33.0,5.4,12.5,.433,1.2,3.9,.301,4.2,8.6,.492,.479,2.4,3.5,.675,1.8,5.8,7.6,3.7,0.9,0.6,1.6,2.0,14.4
2,Nikola Vučević\vucevni01,29,54,54,32.6,7.9,16.9,.470,1.5,4.6,.329,6.4,12.2,.523,.515,2.1,2.7,.781,2.4,8.6,11.0,3.7,0.9,0.9,1.4,2.2,19.5
3,Evan Fournier\fournev01,27,61,61,31.7,6.7,14.2,.470,2.7,6.7,.406,4.0,7.6,.525,.564,2.8,3.4,.820,0.3,2.3,2.6,3.2,1.1,0.2,2.0,2.4,18.8
4,Jonathan Isaac\isaacjo01,22,32,32,29.7,4.7,10.1,.463,0.9,2.8,.330,3.7,7.2,.515,.509,1.8,2.3,.767,1.8,5.2,6.9,1.4,1.6,2.4,1.5,2.5,12.0
5,Markelle Fultz\fultzma01,21,64,59,28.3,5.0,10.6,.473,0.5,1.8,.254,4.5,8.7,.520,.496,1.6,2.2,.723,0.5,2.8,3.3,5.2,1.3,0.2,2.0,2.0,12.1
6,Terrence Ross\rosste01,28,63,0,27.3,5.0,12.3,.407,2.6,7.2,.357,2.4,5.1,.477,.511,2.2,2.6,.845,0.2,3.0,3.2,1.2,1.1,0.3,1.0,1.5,14.8
7,D.J. Augustin\augusdj01,32,49,6,24.8,3.2,8.1,.393,1.2,3.6,.345,2.0,4.6,.430,.469,2.8,3.2,.885,0.4,1.9,2.2,4.6,0.6,0.0,1.4,1.1,10.4
8,James Ennis\ennisja01,29,12,10,23.1,2.3,5.7,.412,0.8,2.8,.303,1.5,2.9,.514,.485,1.3,1.4,.882,1.1,3.0,4.1,1.1,0.5,0.5,1.0,2.0,6.8
9,Al-Farouq Aminu\aminual01,29,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
10,Khem Birch\birchkh01,27,40,24,19.4,1.4,2.9,.487,0.0,0.0,.000,1.4,2.9,.491,.487,1.0,1.7,.612,1.8,2.8,4.5,0.9,0.4,0.5,0.6,1.8,3.8
11,Michael Carter-Williams\cartemi01,28,42,0,18.4,2.5,5.8,.434,0.5,1.6,.294,2.0,4.1,.489,.475,1.7,2.1,.828,1.0,2.3,3.3,2.4,1.1,0.5,1.1,1.9,7.2
12,Wesley Iwundu\iwundwe01,25,45,18,18.0,1.7,4.3,.397,0.5,1.5,.313,1.2,2.8,.441,.451,1.4,1.7,.816,0.5,2.0,2.5,1.0,0.6,0.2,0.4,1.4,5.3
13,Mohamed Bamba\bambamo01,21,60,0,14.5,2.2,4.7,.468,0.6,1.7,.356,1.6,3.0,.534,.534,0.5,0.8,.674,1.6,3.4,5.0,0.7,0.4,1.4,0.7,1.9,5.5
14,Gary Clark\clarkga01,25,17,1,12.5,0.9,2.5,.357,0.6,2.1,.286,0.3,0.4,.714,.476,0.1,0.1,1.000,0.9,1.7,2.6,0.2,0.2,0.4,0.2,0.6,2.5
15,B.J. Johnson\johnsbj01,24,8,0,5.8,0.6,2.3,.278,0.1,0.8,.167,0.5,1.5,.333,.306,0.3,0.3,1.000,0.1,0.6,0.8,0.3,0.3,0.0,0.4,0.0,1.6
16,Josh Magette\magetjo01,30,8,0,4.8,0.6,1.9,.333,0.1,0.5,.250,0.5,1.4,.364,.367,0.1,0.3,.500,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,1.5
17,Amile Jefferson\jeffeam01,26,18,0,4.1,0.3,0.8,.357,0.0,0.0,,0.3,0.8,.357,.357,0.3,0.8,.357,0.6,0.7,1.3,0.2,0.1,0.2,0.2,0.4,0.8
18,Melvin Frazier\frazime01,23,15,0,3.4,0.4,1.1,.353,0.3,0.5,.571,0.1,0.7,.200,.471,0.1,0.3,.500,0.1,0.2,0.3,0.1,0.3,0.1,0.2,0.5,1.2
19,Vic Law\lawvi01,24,5,0,1.8,0.0,0.6,.000,0.0,0.2,.000,0.0,0.4,.000,.000,0.0,0.4,.000,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
