Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Nikola Jokić\jokicni01,24,65,2101,25.0,.604,.233,.277,8.2,26.9,17.6,34.3,1.8,1.9,15.7,26.6,,6.0,3.2,9.2,.209,,5.4,2.3,7.6,5.1
2,Will Barton\bartowi01,29,58,1916,15.7,.549,.390,.180,4.4,16.8,10.6,16.0,1.6,1.4,9.9,20.0,,2.4,2.1,4.5,.113,,1.2,-0.1,1.2,1.5
3,Jamal Murray\murraja01,22,55,1804,17.5,.559,.359,.209,2.6,10.8,6.7,22.7,1.8,0.8,11.8,25.2,,2.5,1.6,4.2,.111,,1.8,-0.7,1.1,1.4
4,Gary Harris\harriga01,25,56,1780,9.7,.519,.405,.177,1.6,8.6,5.1,8.9,2.1,0.7,9.7,15.1,,0.5,1.7,2.2,.059,,-2.8,0.4,-2.4,-0.2
5,Jerami Grant\grantje01,25,64,1676,14.2,.585,.394,.308,3.5,11.6,7.5,6.7,1.3,2.9,8.0,17.8,,2.4,1.7,4.0,.116,,-0.1,-0.4,-0.4,0.7
6,Monte Morris\morrimo01,24,65,1402,14.9,.537,.298,.128,1.6,7.3,4.4,23.3,1.9,1.1,8.1,17.2,,2.2,1.2,3.4,.117,,0.2,-0.1,0.1,0.8
7,Paul Millsap\millspa01,34,44,1075,17.7,.598,.282,.326,9.0,17.9,13.5,9.5,1.7,2.4,12.1,20.3,,2.0,1.4,3.4,.151,,0.6,0.0,0.6,0.7
8,Mason Plumlee\plumlma01,29,53,900,19.1,.615,.016,.556,11.0,23.9,17.4,20.0,1.6,3.4,18.9,18.4,,1.7,1.3,3.0,.162,,0.2,2.0,2.2,1.0
9,Torrey Craig\craigto01,29,50,869,10.4,.559,.524,.149,6.1,13.8,10.0,5.2,1.0,3.4,9.0,12.2,,0.8,0.9,1.7,.095,,-2.4,0.1,-2.3,-0.1
10,Malik Beasley\beaslma01,23,41,746,10.5,.511,.535,.126,1.3,10.1,5.7,9.1,2.1,0.7,10.2,20.6,,-0.2,0.7,0.6,.037,,-2.2,-0.6,-2.8,-0.2
11,Michael Porter\portemi01,21,48,670,18.5,.589,.358,.151,8.8,24.3,16.5,8.0,1.5,2.6,10.3,22.0,,1.0,0.9,2.0,.141,,1.4,-0.7,0.8,0.5
12,Juan Hernangómez\hernaju01,24,34,422,6.9,.442,.545,.227,6.3,18.7,12.5,6.7,0.6,1.1,12.9,14.3,,-0.2,0.4,0.1,.014,,-4.0,-1.1,-5.2,-0.3
13,PJ Dozier\doziepj01,23,21,234,9.3,.449,.308,.121,2.4,11.9,7.1,17.5,1.5,2.0,10.3,19.8,,-0.1,0.2,0.1,.019,,-4.4,-0.8,-5.2,-0.2
14,Vlatko Čančar\cancavl01,22,14,45,11.4,.507,.400,.267,12.4,12.4,12.4,9.1,1.1,2.0,15.2,19.1,,0.0,0.0,0.1,.069,,-3.5,-1.1,-4.5,0.0
15,Jarred Vanderbilt\vandeja01,20,9,41,7.2,.714,.000,.000,8.1,13.6,10.9,6.6,3.6,2.2,50.0,14.8,,-0.1,0.1,0.0,-0.035,,-7.1,1.1,-6.0,0.0
16,Jordan McRae\mcraejo01,28,4,32,16.7,.580,.667,.667,3.5,13.9,8.7,15.6,3.1,2.9,0.0,10.5,,0.1,0.0,0.1,.208,,1.0,1.4,2.5,0.0
17,Keita Bates-Diop\bateske01,24,2,19,15.8,.931,.000,2.000,0.0,11.7,5.9,0.0,0.0,4.8,0.0,8.6,,0.1,0.0,0.1,.218,,0.0,0.1,0.0,0.0
18,Noah Vonleh\vonleno01,24,4,17,22.0,1.031,.333,.667,19.6,26.2,22.9,8.6,0.0,0.0,34.0,15.0,,0.1,0.0,0.1,.185,,4.3,-1.6,2.7,0.0
19,Troy Daniels\danietr01,28,1,1,-40.8,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4,,0.0,0.0,0.0,-1.036,,-38.4,-22.8,-61.2,0.0
