Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Josh Okogie\okogijo01,21,62,1547,11.5,.553,.387,.480,5.7,12.8,9.1,8.9,2.0,1.4,15.3,15.1,,1.0,1.2,2.2,.067,,-2.4,0.0,-2.4,-0.1
2,Jarrett Culver\culveja01,20,63,1506,9.6,.467,.388,.206,4.7,10.3,7.4,10.8,1.8,2.1,11.5,19.2,,-1.2,1.1,-0.1,-0.004,,-3.2,-0.8,-4.0,-0.8
3,Andrew Wiggins\wiggian01,24,42,1455,16.1,.535,.348,.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,,0.6,0.8,1.4,.046,,1.2,-1.5,-0.4,0.6
4,Robert Covington\covinro01,29,48,1411,13.5,.572,.629,.190,2.6,19.5,10.7,5.9,2.6,2.6,12.0,17.8,,0.5,1.7,2.3,.078,,-1.2,1.2,0.0,0.7
5,Karl-Anthony Towns\townska01,24,35,1187,26.5,.642,.445,.363,8.1,26.1,16.8,22.8,1.3,2.9,13.2,28.8,,3.8,1.3,5.1,.205,,7.0,0.8,7.8,2.9
6,Jeff Teague\teaguje01,31,34,945,16.0,.578,.269,.444,1.6,8.5,4.9,32.5,1.2,1.1,16.4,20.2,,1.7,0.4,2.1,.108,,0.6,-1.2,-0.6,0.3
7,Shabazz Napier\napiesh01,28,36,856,13.9,.539,.562,.311,2.0,11.9,6.8,31.3,2.2,0.7,19.1,19.1,,0.6,0.6,1.3,.071,,-0.5,-0.2,-0.8,0.3
8,Gorgui Dieng\dienggo01,30,46,778,17.8,.563,.433,.213,9.5,25.8,17.4,11.1,2.2,4.5,12.7,18.4,,1.0,1.1,2.1,.129,,0.3,1.5,1.8,0.7
9,Treveon Graham\grahatr01,26,33,663,6.0,.447,.474,.211,4.5,11.7,8.0,6.1,1.2,0.3,9.0,13.1,,-0.2,0.3,0.0,.003,,-5.0,-0.8,-5.8,-0.6
10,Keita Bates-Diop\bateske01,24,37,646,12.5,.535,.456,.316,3.3,15.1,9.0,6.7,1.2,2.6,5.6,15.8,,0.6,0.5,1.0,.076,,-0.8,-0.1,-0.9,0.2
11,Jordan McLaughlin\mclaujo01,23,30,590,16.3,.587,.427,.219,1.2,7.8,4.4,31.0,2.7,0.6,13.7,15.8,,1.2,0.4,1.6,.130,,0.4,-0.1,0.3,0.3
12,Jake Layman\laymaja01,25,23,505,10.3,.544,.402,.179,3.4,8.7,6.0,4.4,1.6,1.6,11.1,17.7,,0.0,0.3,0.3,.029,,-2.7,-1.0,-3.7,-0.2
13,Kelan Martin\martike03,24,31,495,9.2,.506,.530,.171,2.5,18.6,10.2,6.8,0.7,1.5,9.3,17.8,,-0.1,0.3,0.2,.023,,-3.3,-1.0,-4.3,-0.3
14,Naz Reid\reidna01,20,30,495,15.3,.505,.399,.218,7.0,19.9,13.2,11.2,1.8,3.7,7.6,24.0,,0.2,0.6,0.8,.074,,-1.6,-0.3,-1.9,0.0
15,Malik Beasley\beaslma01,23,14,463,16.2,.591,.494,.120,2.0,14.7,8.1,9.8,0.9,0.4,7.9,23.7,,0.6,0.2,0.8,.079,,1.8,-2.4,-0.6,0.2
16,Juan Hernangómez\hernaju01,24,14,411,14.1,.576,.504,.336,4.7,22.1,13.1,6.4,1.6,0.8,8.2,17.1,,0.5,0.4,0.8,.098,,-0.4,-1.0,-1.4,0.1
17,D'Angelo Russell\russeda01,23,12,392,17.6,.553,.521,.261,0.8,14.5,7.4,33.1,2.0,0.8,16.4,29.5,,0.2,0.3,0.5,.064,,1.8,-1.7,0.2,0.2
18,Noah Vonleh\vonleno01,24,29,347,15.3,.605,.163,.326,10.0,25.9,17.6,10.8,1.5,1.4,16.2,13.9,,0.5,0.3,0.9,.123,,-1.4,0.4,-1.0,0.1
19,James Johnson\johnsja01,32,14,338,17.9,.588,.359,.266,5.1,15.9,10.3,24.4,2.6,4.7,18.8,21.4,,0.3,0.4,0.8,.109,,0.2,1.5,1.7,0.3
20,Jordan Bell\belljo01,25,27,235,14.1,.570,.150,.483,12.1,23.3,17.5,8.6,0.4,3.5,19.8,15.9,,0.2,0.2,0.4,.072,,-1.5,-1.1,-2.5,0.0
21,Jaylen Nowell\nowelja01,20,15,151,10.5,.471,.491,.321,2.0,7.3,4.5,17.8,0.9,0.6,4.7,17.3,,0.1,0.0,0.2,.051,,-2.9,-0.8,-3.7,-0.1
22,Allen Crabbe\crabbal01,27,9,131,1.1,.416,.765,.059,0.8,9.2,4.8,5.1,0.0,0.0,12.5,12.5,,-0.2,0.0,-0.2,-0.068,,-6.6,-3.2,-9.9,-0.3
23,Jarred Vanderbilt\vandeja01,20,2,5,11.1,.532,1.000,2.000,0.0,21.9,10.6,0.0,0.0,0.0,0.0,15.5,,0.0,0.0,0.0,.104,,-2.8,-2.8,-5.6,0.0
24,Jacob Evans\evansja02,22,2,4,-9.6,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,,0.0,0.0,0.0,-0.264,,-10.4,-5.6,-16.0,0.0
