No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
23,Jarrett Culver,SG,6-6,195,February 20 1999,us,R,Texas Tech
20,Josh Okogie,SG,6-4,212,September 1 1998,ng,1,Georgia Tech
32,Karl-Anthony Towns,C,6-11,248,November 15 1995,us,4,Kentucky
30,Kelan Martin  (TW),SF,6-5,235,August 3 1995,us,R,Butler
11,Naz Reid,C,6-9,264,August 26 1999,us,R,LSU
6,Jordan McLaughlin  (TW),PG,5-11,170,April 9 1996,us,R,USC
10,Jake Layman,PF,6-8,209,March 7 1994,us,3,Maryland
4,Jaylen Nowell,SG,6-4,196,July 9 1999,us,R,Washington
5,Malik Beasley,SG,6-4,198,November 26 1996,us,3,Florida State
41,Juan Hernangómez,PF,6-9,220,September 28 1995,es,3,
16,James Johnson,PF,6-7,240,February 20 1987,us,10,Wake Forest
0,D'Angelo Russell,PG,6-4,198,February 23 1996,us,4,Ohio State
3,Jarred Vanderbilt,PF,6-9,214,April 3 1999,us,1,Kentucky
12,Jacob Evans,SG,6-4,210,June 18 1997,us,1,Cincinnati
,Evan Turner,G,6-6,220,October 27 1988,us,9,Ohio State
,Omari Spellman,F,6-8,245,July 21 1997,us,1,Villanova
