Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shai Gilgeous-Alexander\gilgesh01,21,63,2214,17.8,.566,.237,.339,2.3,16.4,9.6,14.8,1.5,1.7,9.8,23.7,,2.9,2.6,5.5,.120,,1.4,0.2,1.6,2.0
2,Chris Paul\paulch01,34,63,2003,21.7,.609,.347,.311,1.2,15.5,8.6,33.4,2.4,0.4,13.0,23.2,,5.5,2.5,8.1,.194,,3.1,1.2,4.3,3.2
3,Dennis Schröder\schrode01,26,63,1952,16.8,.573,.339,.243,1.1,11.8,6.6,21.6,1.1,0.6,13.2,27.2,,1.9,1.6,3.5,.086,,1.1,-1.2,-0.1,1.0
4,Danilo Gallinari\gallida01,31,55,1690,19.4,.611,.538,.352,2.2,17.1,9.9,10.5,1.2,0.2,7.5,24.4,,4.1,1.6,5.7,.163,,4.1,-0.9,3.2,2.2
5,Steven Adams\adamsst01,26,58,1564,20.8,.605,.007,.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,,3.7,2.5,6.2,.190,,2.1,1.1,3.2,2.0
6,Terrance Ferguson\fergute01,21,50,1170,4.1,.504,.779,.095,2.3,4.6,3.5,5.0,1.1,1.2,12.6,9.0,,-0.1,0.8,0.7,.027,,-4.5,0.3,-4.1,-0.6
7,Nerlens Noel\noelne01,25,55,1014,21.7,.714,.012,.386,9.3,20.0,14.8,7.9,2.7,6.9,15.4,15.3,,2.7,2.1,4.8,.225,,0.5,3.4,4.0,1.5
8,Darius Bazley\bazleda01,19,53,909,8.1,.475,.435,.204,2.7,20.7,12.0,4.3,1.1,3.3,13.8,14.1,,-0.8,1.2,0.4,.019,,-3.1,0.6,-2.5,-0.1
9,Abdel Nader\naderab01,26,48,756,11.2,.580,.477,.282,2.1,10.8,6.6,6.6,1.3,2.3,12.7,16.5,,0.4,0.7,1.1,.072,,-1.1,0.2,-0.8,0.2
10,Hamidou Diallo\diallha01,21,38,699,8.4,.488,.160,.205,4.8,14.3,9.7,4.5,2.0,1.0,13.4,17.4,,-0.6,0.8,0.2,.014,,-5.0,0.3,-4.8,-0.5
11,Luguentz Dort\dortlu01,20,29,637,7.3,.521,.465,.229,2.7,6.6,4.7,4.5,1.8,0.3,8.0,13.0,,0.2,0.5,0.7,.052,,-4.3,0.4,-3.9,-0.3
12,Mike Muscala\muscami01,28,41,492,12.2,.560,.755,.138,3.0,17.7,10.6,9.8,0.8,1.9,7.7,16.4,,0.5,0.5,1.0,.102,,-0.1,-0.1,-0.2,0.2
13,Deonte Burton\burtode02,26,34,284,5.9,.426,.438,.114,2.4,15.9,9.4,5.6,0.9,3.0,11.3,19.3,,-0.6,0.3,-0.3,-0.046,,-5.5,-0.4,-5.8,-0.3
14,Justin Patton\pattoju01,22,5,24,4.7,.450,.400,.000,4.8,17.9,11.6,12.5,0.0,0.0,16.7,22.1,,0.0,0.0,0.0,-0.066,,-6.9,-3.3,-10.1,-0.1
15,Devon Hall\hallde01,24,5,20,3.6,.370,.400,.800,0.0,5.4,2.8,19.1,0.0,0.0,12.9,17.1,,0.0,0.0,0.0,-0.064,,-6.2,-3.6,-9.7,0.0
16,Kevin Hervey\herveke01,23,7,19,-14.9,.091,.727,.000,0.0,11.3,5.8,6.7,0.0,0.0,0.0,25.5,,-0.2,0.0,-0.2,-0.471,,-13.4,-6.5,-19.9,-0.1
17,Isaiah Roby\robyis01,21,3,11,-7.7,.000,.000,.000,0.0,19.5,10.1,0.0,0.0,0.0,50.0,8.0,,-0.1,0.0,0.0,-0.191,,-12.0,-3.5,-15.5,0.0
