Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,CJ McCollum\mccolcj01,28,62,2229,17.4,.543,.378,.135,1.9,9.7,5.9,19.3,1.0,1.5,8.3,26.7,,3.1,0.6,3.7,.079,,2.5,-1.7,0.9,1.6
2,Damian Lillard\lillada01,29,58,2140,26.2,.619,.493,.377,1.5,10.5,6.1,34.1,1.3,0.8,11.0,30.2,,8.9,0.7,9.6,.215,,7.9,-0.7,7.2,5.0
3,Hassan Whiteside\whiteha01,30,61,1911,25.0,.641,.010,.333,13.4,33.4,23.6,6.0,0.6,8.3,13.1,19.8,,5.1,3.0,8.1,.204,,2.5,0.7,3.2,2.5
4,Carmelo Anthony\anthoca01,35,50,1623,12.2,.517,.286,.197,4.0,15.8,10.0,7.0,1.2,1.2,10.5,21.6,,0.1,0.9,1.0,.029,,-1.9,-1.8,-3.7,-0.7
5,Anfernee Simons\simonan01,20,65,1400,9.3,.506,.417,.175,1.9,8.9,5.4,9.4,0.9,0.6,9.7,19.0,,0.1,0.2,0.3,.010,,-2.5,-1.8,-4.4,-0.8
6,Kent Bazemore\bazemke01,30,43,1111,7.6,.475,.525,.221,1.2,14.6,8.0,7.2,1.9,2.4,14.4,16.0,,-1.0,0.9,-0.1,-0.005,,-3.6,0.4,-3.2,-0.3
7,Gary Trent\trentga02,21,53,1059,11.8,.555,.574,.103,2.0,6.6,4.3,6.5,1.8,1.0,4.9,15.4,,1.2,0.4,1.6,.071,,-0.5,-0.6,-1.1,0.3
8,Mario Hezonja\hezonma01,24,47,767,9.5,.532,.339,.270,3.6,18.1,10.9,7.2,1.7,1.0,14.9,13.7,,0.1,0.6,0.7,.046,,-3.1,0.2,-2.9,-0.2
9,Trevor Ariza\arizatr01,34,21,702,12.8,.643,.535,.296,1.9,12.6,7.4,7.7,2.3,1.0,13.5,12.6,,1.0,0.5,1.5,.101,,-1.0,0.5,-0.5,0.3
10,Rodney Hood\hoodro01,27,21,619,12.2,.625,.413,.157,1.7,10.2,6.0,7.1,1.3,0.5,9.4,13.9,,0.9,0.2,1.1,.087,,-0.4,-0.5,-0.9,0.2
11,Nassir Little\littlna01,19,48,573,9.7,.505,.391,.291,5.7,13.7,9.8,5.1,1.1,2.1,8.1,13.7,,0.3,0.3,0.6,.050,,-2.9,-0.6,-3.5,-0.2
12,Skal Labissière\labissk01,23,33,567,15.4,.588,.088,.224,12.1,18.7,15.4,10.2,0.6,4.6,15.7,14.3,,1.0,0.4,1.4,.122,,-1.5,0.3,-1.3,0.1
13,Anthony Tolliver\tollian01,34,33,554,7.6,.515,.761,.162,5.1,15.3,10.3,6.6,0.7,1.4,14.3,11.2,,0.2,0.2,0.4,.033,,-2.4,-0.9,-3.3,-0.2
14,Caleb Swanigan\swanica01,22,20,265,8.3,.605,.047,.349,9.9,26.2,18.2,14.2,0.4,1.6,38.5,12.9,,-0.1,0.2,0.1,.023,,-5.5,0.0,-5.6,-0.2
15,Wenyen Gabriel\gabriwe01,22,17,149,10.5,.614,.414,.345,9.9,15.1,12.5,4.3,2.2,2.3,24.8,12.6,,0.1,0.1,0.2,.072,,-3.7,-0.2,-3.9,-0.1
16,Jaylen Hoard\hoardja01,20,13,103,14.9,.504,.094,.406,14.3,17.8,16.1,5.4,2.3,0.0,9.6,17.2,,0.1,0.1,0.2,.096,,-0.9,-1.1,-1.9,0.0
17,Zach Collins\colliza01,22,3,86,9.0,.624,.368,.316,4.9,9.5,7.2,9.1,0.0,2.0,21.7,13.6,,0.1,0.0,0.1,.045,,-1.1,-0.7,-1.7,0.0
18,Moses Brown\brownmo01,20,9,33,6.7,.407,.000,.800,9.6,34.0,22.0,4.1,1.4,2.6,18.2,21.2,,-0.1,0.0,0.0,-0.062,,-8.2,-1.7,-9.9,-0.1
