Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Damian Lillard\lillada01,29,58,58,36.9,9.2,20.0,.457,3.9,9.9,.394,5.3,10.2,.518,.554,6.7,7.6,.888,0.5,3.8,4.3,7.8,1.0,0.4,2.9,1.7,28.9
2,CJ McCollum\mccolcj01,28,62,62,36.0,8.9,19.5,.453,2.8,7.4,.380,6.0,12.2,.497,.525,2.0,2.6,.750,0.7,3.4,4.1,4.3,0.7,0.6,1.9,2.6,22.5
3,Trevor Ariza\arizatr01,34,21,21,33.4,3.7,7.6,.491,1.6,4.0,.400,2.1,3.5,.595,.597,2.0,2.2,.872,0.6,4.1,4.8,2.0,1.6,0.4,1.3,2.3,11.0
4,Carmelo Anthony\anthoca01,35,50,50,32.5,5.8,13.6,.426,1.4,3.9,.371,4.3,9.7,.447,.479,2.3,2.7,.843,1.2,5.0,6.3,1.6,0.8,0.5,1.7,2.8,15.3
5,Hassan Whiteside\whiteha01,30,61,61,31.3,6.9,11.1,.618,0.1,0.1,.571,6.8,11.0,.619,.621,2.5,3.7,.680,4.0,10.2,14.2,1.2,0.4,3.1,1.9,2.9,16.3
6,Rodney Hood\hoodro01,27,21,21,29.5,4.1,8.2,.506,1.7,3.4,.493,2.5,4.8,.515,.608,1.0,1.3,.778,0.5,3.0,3.4,1.5,0.8,0.2,0.9,2.2,11.0
7,Zach Collins\colliza01,22,3,3,28.7,3.0,6.3,.474,1.0,2.3,.429,2.0,4.0,.500,.553,2.0,2.0,1.000,1.3,2.7,4.0,2.0,0.0,0.7,2.0,3.7,9.0
8,Kent Bazemore\bazemke01,30,43,21,25.8,2.6,7.6,.347,1.3,4.0,.327,1.3,3.6,.368,.433,1.3,1.7,.806,0.3,3.7,4.0,1.4,1.0,0.7,1.4,2.8,7.9
9,Anfernee Simons\simonan01,20,65,4,21.5,3.2,8.1,.402,1.1,3.4,.338,2.1,4.7,.448,.472,1.2,1.4,.826,0.4,1.9,2.3,1.5,0.4,0.2,0.9,2.0,8.8
10,Gary Trent\trentga02,21,53,8,20.0,2.8,6.6,.426,1.5,3.8,.388,1.3,2.8,.477,.537,0.6,0.7,.833,0.4,1.3,1.7,0.9,0.7,0.2,0.4,1.3,7.7
11,Skal Labissière\labissk01,23,33,1,17.2,2.5,4.5,.551,0.1,0.4,.231,2.4,4.1,.582,.561,0.8,1.0,.758,2.0,3.2,5.1,1.3,0.2,0.9,0.9,2.7,5.8
12,Anthony Tolliver\tollian01,34,33,9,16.8,1.3,3.5,.368,0.9,2.7,.337,0.4,0.8,.464,.496,0.4,0.6,.684,0.8,2.5,3.3,0.9,0.2,0.3,0.6,1.6,3.9
13,Mario Hezonja\hezonma01,24,47,4,16.3,1.7,4.0,.429,0.4,1.4,.328,1.3,2.7,.480,.484,0.9,1.1,.824,0.6,2.9,3.4,0.9,0.6,0.2,0.8,2.0,4.8
14,Caleb Swanigan\swanica01,22,20,1,13.3,1.3,2.2,.605,0.0,0.1,.000,1.3,2.1,.634,.605,0.4,0.8,.533,1.3,3.4,4.7,1.5,0.1,0.3,1.6,2.7,3.0
15,Nassir Little\littlna01,19,48,5,11.9,1.4,3.1,.430,0.3,1.2,.237,1.1,1.9,.554,.477,0.6,0.9,.636,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,3.6
16,Wenyen Gabriel\gabriwe01,22,17,1,8.8,0.8,1.7,.483,0.3,0.7,.417,0.5,1.0,.529,.569,0.5,0.6,.800,0.8,1.3,2.1,0.3,0.4,0.2,0.6,1.6,2.4
17,Jaylen Hoard\hoardja01,20,13,0,7.9,1.2,2.5,.469,0.0,0.2,.000,1.2,2.2,.517,.469,0.6,1.0,.615,1.1,1.4,2.5,0.3,0.4,0.0,0.3,0.9,2.9
18,Moses Brown\brownmo01,20,9,0,3.7,0.4,1.1,.400,0.0,0.0,,0.4,1.1,.400,.400,0.3,0.9,.375,0.3,1.2,1.6,0.1,0.1,0.1,0.3,0.8,1.2
