No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Joe Ingles,SF,6-7,226,October 2 1987,au,5,
23,Royce O'Neale,PF,6-4,226,June 5 1993,us,2,Denver Baylor
45,Donovan Mitchell,SG,6-1,215,September 7 1996,us,2,Louisville
44,Bojan Bogdanović,SF,6-8,216,April 18 1989,ba,5,
27,Rudy Gobert,C,7-1,245,June 26 1992,fr,6,
31,Georges Niang,PF,6-7,230,June 17 1993,us,3,Iowa State
13,Tony Bradley,C,6-10,248,January 8 1998,us,2,UNC
15,Emmanuel Mudiay,PG,6-3,200,March 5 1996,cd,4,
10,Mike Conley,PG,6-1,175,October 11 1987,us,12,Ohio State
00,Jordan Clarkson,SG,6-4,194,June 7 1992,us,5,Tulsa Missouri
17,Ed Davis,C,6-9,225,June 5 1989,us,9,UNC
16,Juwan Morgan,PF,6-8,232,April 17 1997,us,R,Indiana
6,Rayjon Tucker,SG,6-5,210,September 24 1997,us,R,
0,Nigel Williams-Goss,PG,6-2,190,September 16 1994,us,R,Gonzaga Washington
81,Miye Oni,SG,6-5,206,August 4 1997,us,R,Yale
5,Jarrell Brantley  (TW),PF,6-5,250,June 7 1996,us,R,College of Charleston
3,Justin Wright-Foreman  (TW),PG,6-0,190,October 27 1997,us,R,Hofstra
