No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
7,Eric Paschall,PF,6-6,255,November 4 1996,us,R,Fordham Villanova
32,Marquese Chriss,PF,6-9,240,July 2 1997,us,3,Washington
3,Jordan Poole,SG,6-4,195,June 19 1999,us,R,Michigan
1,Damion Lee,SG,6-5,210,October 21 1992,us,2,Drexel Louisville
12,Ky Bowman,PG,6-1,181,June 16 1997,us,R,Boston College
23,Draymond Green,PF,6-6,230,March 4 1990,us,7,Michigan State
5,Kevon Looney,C,6-9,220,February 6 1996,us,4,UCLA
6,Alen Smailagić,PF,6-10,215,August 18 2000,rs,R,
95,Juan Toscano-Anderson,SF,6-6,215,April 10 1993,us,R,Marquette
22,Andrew Wiggins,SG,6-7,194,February 23 1995,ca,5,Kansas
10,Dragan Bender,SF,7-0,225,November 17 1997,ba,3,
15,Mychal Mulder,SG,6-4,185,June 12 1994,ca,R,Vincennes Kentucky
30,Stephen Curry,PG,6-3,190,March 14 1988,us,10,Davidson
25,Chasson Randle,PG,6-2,185,February 5 1993,us,2,Stanford
,Klay Thompson,G-F,6-6,215,February 8 1990,us,8,Washington State
