Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LeBron James\jamesle01,35,60,2094,26.0,.582,.324,.292,3.1,21.0,12.3,49.7,1.7,1.3,15.3,31.6,,6.1,3.4,9.5,.218,,6.8,1.9,8.7,5.7
2,Anthony Davis\davisan02,26,55,1889,28.2,.614,.195,.460,7.3,22.1,14.9,14.6,2.1,6.2,10.1,29.7,,6.2,4.1,10.3,.262,,5.8,2.8,8.5,5.0
3,Kentavious Caldwell-Pope\caldwke01,26,63,1603,11.6,.592,.474,.204,2.6,6.3,4.5,8.7,1.6,0.7,9.8,14.8,,2.0,1.8,3.8,.114,,-0.8,0.5,-0.3,0.7
4,Danny Green\greenda02,32,61,1529,11.1,.564,.704,.104,3.2,11.3,7.3,7.3,2.4,1.7,10.8,13.8,,1.1,2.4,3.4,.108,,-0.8,1.7,0.9,1.1
5,Kyle Kuzma\kuzmaky01,24,54,1327,11.6,.522,.401,.221,4.0,15.5,9.9,7.4,0.8,1.4,11.6,23.2,,-0.2,1.6,1.4,.052,,-2.2,-1.3,-3.5,-0.5
6,Dwight Howard\howardw01,34,62,1193,18.7,.696,.019,.700,14.6,26.8,20.9,4.8,1.1,5.6,17.8,14.5,,2.6,2.4,5.0,.202,,-0.8,1.4,0.5,0.8
7,Avery Bradley\bradlav01,29,49,1186,8.9,.537,.452,.063,1.7,8.7,5.3,7.1,1.7,0.4,10.7,15.7,,0.2,1.4,1.6,.066,,-2.9,0.5,-2.4,-0.1
8,Alex Caruso\carusal01,25,58,1032,11.0,.538,.412,.292,1.5,10.1,5.9,12.6,2.8,1.4,13.6,13.9,,0.6,1.6,2.2,.103,,-2.4,2.4,0.1,0.5
9,JaVale McGee\mcgeeja01,32,61,1023,20.0,.655,.021,.265,12.1,25.2,18.8,4.7,1.4,7.9,12.9,15.0,,2.2,2.3,4.5,.211,,-0.3,2.3,2.1,1.1
10,Rajon Rondo\rondora01,33,48,984,12.4,.494,.381,.125,2.6,12.9,7.9,32.4,1.9,0.2,20.8,18.7,,0.2,1.3,1.5,.073,,-1.1,0.0,-1.2,0.2
11,Troy Daniels\danietr01,28,41,456,9.0,.527,.709,.101,2.9,7.9,5.5,4.1,0.8,0.6,5.2,16.1,,0.3,0.4,0.7,.072,,-1.1,-1.0,-2.1,0.0
12,Quinn Cook\cookqu01,26,38,409,10.5,.517,.382,.052,1.9,8.6,5.3,13.9,1.3,0.2,12.4,20.8,,-0.1,0.4,0.4,.043,,-2.3,-1.0,-3.3,-0.1
13,Jared Dudley\dudleja01,34,40,311,7.4,.570,.680,.040,1.8,13.0,7.5,7.4,1.8,0.8,10.5,7.7,,0.2,0.4,0.7,.103,,-2.7,2.0,-0.7,0.1
14,Markieff Morris\morrima02,30,8,118,9.8,.503,.583,.111,9.5,14.4,12.0,5.5,0.8,3.0,11.7,15.3,,0.1,0.2,0.2,.086,,-2.5,0.1,-2.4,0.0
15,Talen Horton-Tucker\hortota01,19,2,5,14.8,.000,1.000,.000,0.0,0.0,0.0,44.9,9.5,0.0,0.0,8.4,,0.0,0.0,0.0,.110,,0.6,7.2,7.8,0.0
16,Kostas Antetokounmpo\antetko01,22,3,5,8.6,,,,0.0,21.3,10.9,22.4,0.0,0.0,,0.0,,0.0,0.0,0.0,.136,,1.2,3.1,4.3,0.0
17,Zach Norvell\norveza01,22,2,5,-5.6,.000,.000,.000,0.0,21.3,10.9,0.0,0.0,0.0,0.0,8.4,,0.0,0.0,0.0,-0.149,,-10.2,-2.4,-12.6,0.0
