No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Kentavious Caldwell-Pope,SG,6-5,205,February 18 1993,us,6,Georgia
39,Dwight Howard,C,6-10,265,December 8 1985,us,15,
14,Danny Green,SG,6-6,215,June 22 1987,us,10,UNC
7,JaVale McGee,C,7-0,270,January 19 1988,us,11,Nevada
23,LeBron James,PG,6-9,250,December 30 1984,us,16,
4,Alex Caruso,PG,6-5,186,February 28 1994,us,2,Texas A&M
3,Anthony Davis,PF,6-10,253,March 11 1993,us,7,Kentucky
0,Kyle Kuzma,PF,6-8,220,July 24 1995,us,2,Utah
11,Avery Bradley,SG,6-3,180,November 26 1990,us,9,Texas
9,Rajon Rondo,PG,6-1,186,February 22 1986,us,13,Kentucky
10,Jared Dudley,SF,6-6,237,July 10 1985,us,12,Boston College
28,Quinn Cook,PG,6-1,179,March 23 1993,us,3,Duke
88,Markieff Morris,PF,6-8,245,September 2 1989,us,8,Kansas
37,Kostas Antetokounmpo  (TW),PF,6-10,200,November 20 1997,gr,1,Dayton
5,Talen Horton-Tucker,SG,6-4,235,November 25 2000,us,R,Iowa State
,Devontae Cacok  (TW),F,6-7,240,October 8 1996,us,R,UNC Wilmington
,Dion Waiters,G,6-3,215,December 10 1991,us,7,Syracuse
,J.R. Smith,G-F,6-6,225,September 9 1985,us,15,
