,,Salary,Salary,Salary,Salary,Salary,Salary,,
Player,Age,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
LeBron James\jamesle01,35,$37436858,$39219565,$41002273,,,,Cap Space,$76656423
Anthony Davis\davisan02,27,$27093019,$28751775,,,,,1st Round Pick,$27093019
Danny Green\greenda02,33,$14634146,$15365854,,,,,Cap Space,$30000000
Kentavious Caldwell-Pope\caldwke01,27,$8089282,$8493746,,,,,Cap Space,$8089282
Avery Bradley\bradlav01,29,$4767000,$5005350,,,,,Room Exception,$9772350
JaVale McGee\mcgeeja01,32,$4000000,$4200000,,,,,Cap Space,$8200000
Quinn Cook\cookqu01,27,$3000000,$3000000,,,,,Cap Space,$4000000
Alex Caruso\carusal01,26,$2750000,$2750000,,,,,Room Exception,$5500000
Jared Dudley\dudleja01,35,$2564753,,,,,,Minimum Salary,$2564753
Dwight Howard\howardw01,34,$2564753,,,,,,Minimum Salary,$2564753
Rajon Rondo\rondora01,34,$2564753,$2619605,,,,,Minimum Salary,$2564753
Kyle Kuzma\kuzmaky01,25,$1974600,$3562178,,,,,1st Round Pick,$5536778
Markieff Morris\morrima02,30,$1750000,,,,,,DPE,$1750000
Talen Horton-Tucker\hortota01,19,$898310,$1517981,,,,,Minimum Salary,$2416291
Dion Waiters\waitedi01,28,$503656,,,,,,Minimum Salary,$503656
J.R. Smith\smithjr01,34,$289803,,,,,,Minimum Salary,$289803
Kostas Antetokounmpo\antetko01,22,,,,,,,Two-Way Contract,
Devontae Cacok\cacokde01,23,,,,,,,Two-Way Contract,
Luol Deng\denglu01,35,$4990000,$4990000,$4990000,,,,,$14970000
DeMarcus Cousins\couside01,29,$3500000,,,,,,,$3500000
Troy Daniels\danietr01,29,$2028594,,,,,,,$2028594
Team Totals,,$125399527,$119476054,$45992273,,,,,$208000455
