Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Devin Booker\bookede01,23,62,2241,19.8,.617,.313,.395,1.3,11.7,6.4,30.2,1.0,0.6,15.7,29.5,,4.8,1.2,6.0,.129,,3.1,-1.4,1.7,2.1
2,Kelly Oubre\oubreke01,24,56,1933,14.9,.560,.372,.298,3.8,17.3,10.4,6.7,1.7,1.8,8.2,22.4,,1.7,1.9,3.6,.090,,-0.3,-0.4,-0.6,0.7
3,Ricky Rubio\rubiori01,29,57,1802,16.3,.531,.308,.334,2.5,14.0,8.2,39.9,2.3,0.4,18.1,20.2,,2.4,1.7,4.1,.109,,0.5,0.2,0.7,1.2
4,Mikal Bridges\bridgmi01,23,65,1772,13.0,.623,.391,.258,3.6,12.8,8.1,8.9,2.5,1.9,12.5,12.4,,2.2,1.9,4.1,.111,,-0.7,1.5,0.8,1.3
5,Dario Šarić\saricda01,25,58,1441,13.3,.572,.455,.202,6.7,20.2,13.3,10.9,1.1,0.9,12.3,17.2,,1.5,1.2,2.7,.091,,-0.5,-0.4,-0.9,0.4
6,Cameron Johnson\johnsca02,23,49,996,12.2,.576,.705,.142,4.3,11.5,7.8,7.4,1.4,1.4,7.7,16.0,,1.1,0.7,1.8,.086,,0.5,-0.7,-0.2,0.5
7,Deandre Ayton\aytonde01,21,30,996,20.4,.571,.006,.168,13.5,27.0,20.1,9.7,1.0,4.5,12.4,24.3,,1.1,1.3,2.4,.117,,0.8,-0.4,0.5,0.6
8,Aron Baynes\baynear01,33,42,934,15.1,.581,.441,.197,8.3,20.2,14.1,11.0,0.5,2.2,10.8,21.1,,1.3,0.7,2.0,.103,,-0.2,-0.9,-1.1,0.2
9,Jevon Carter\carteje01,24,50,754,10.4,.535,.571,.122,3.6,11.0,7.2,11.7,2.4,1.5,12.6,13.9,,0.3,0.7,1.1,.068,,-1.6,1.0,-0.6,0.3
10,Frank Kaminsky\kaminfr01,26,32,718,14.5,.554,.401,.315,4.6,20.2,12.2,14.8,0.9,1.2,9.4,20.8,,0.8,0.6,1.4,.092,,0.2,-0.3,-0.1,0.3
11,Elie Okobo\okoboel01,22,54,707,10.5,.511,.392,.370,2.5,11.6,6.9,21.5,1.6,0.5,15.3,14.9,,0.4,0.5,0.9,.059,,-2.0,-0.1,-2.1,0.0
12,Tyler Johnson\johnsty01,27,31,515,8.1,.481,.485,.187,2.1,9.3,5.6,13.5,1.1,1.4,11.5,17.3,,-0.2,0.3,0.1,.011,,-3.0,-0.7,-3.7,-0.2
13,Cheick Diallo\diallch01,23,44,467,16.3,.688,.015,.270,6.5,24.1,15.1,7.2,1.0,2.3,16.4,16.7,,0.8,0.5,1.3,.129,,-1.1,-0.3,-1.4,0.1
14,Ty Jerome\jeromty01,22,28,315,8.1,.437,.443,.132,2.1,12.6,7.2,18.8,2.1,0.8,13.8,17.6,,-0.3,0.3,0.0,-0.002,,-3.9,0.0,-3.8,-0.1
15,Jonah Bolden\boldejo01,24,3,33,7.9,.338,.375,.250,9.9,17.2,13.5,0.0,2.9,5.3,0.0,11.4,,0.0,0.1,0.0,.051,,-6.6,0.1,-6.5,0.0
16,Jalen Lecque\lecquja01,19,4,26,5.0,.460,.400,.200,0.0,0.0,0.0,11.1,0.0,0.0,8.4,19.4,,0.0,0.0,0.0,-0.042,,-5.7,-3.6,-9.3,0.0
17,Tariq Owens\owensta01,24,3,15,8.4,.340,.400,.400,14.5,7.6,11.1,0.0,3.2,0.0,0.0,16.7,,0.0,0.0,0.0,.017,,-3.1,-2.8,-5.9,0.0
18,Jared Harper\harpeja01,22,3,8,-5.3,.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,,0.0,0.0,0.0,-0.253,,-10.2,-5.7,-15.8,0.0
