No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
25,Mikal Bridges,SF,6-6,210,August 30 1996,us,1,Villanova
1,Devin Booker,SG,6-5,210,October 30 1996,us,4,Kentucky
20,Dario Šarić,PF,6-10,225,April 8 1994,hr,3,
11,Ricky Rubio,PG,6-3,190,October 21 1990,es,8,
3,Kelly Oubre Jr.,SF,6-7,205,December 9 1995,us,4,Kansas
2,Elie Okobo,PG,6-3,190,October 23 1997,fr,1,
4,Jevon Carter,PG,6-1,195,September 14 1995,us,1,West Virginia
23,Cameron Johnson,PF,6-8,205,March 3 1996,us,R,Pitt UNC
14,Cheick Diallo,C,6-8,220,September 13 1996,ml,3,Kansas
46,Aron Baynes,C,6-10,260,December 9 1986,nz,7,Washington State
8,Frank Kaminsky,C,7-0,240,April 4 1993,us,4,Wisconsin
22,Deandre Ayton,C,6-11,250,July 23 1998,bs,1,Arizona
10,Ty Jerome,PG,6-5,195,July 8 1997,us,R,Virginia
0,Jalen Lecque,PG,6-3,185,June 13 2000,us,R,
41,Tariq Owens  (TW),PF,6-10,205,June 30 1995,us,R,Tennessee St. John's Texas Tech
,Cameron Payne,G,6-3,190,August 8 1994,us,4,Murray State
