No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
15,Nikola Jokić,C,7-0,253,February 19 1995,rs,4,
11,Monte Morris,PG,6-2,175,June 27 1995,us,2,Iowa State
9,Jerami Grant,PF,6-8,214,March 12 1994,us,5,Syracuse
5,Will Barton,SF,6-5,175,January 6 1991,us,7,Memphis
14,Gary Harris,SG,6-4,205,September 14 1994,us,5,Michigan State
27,Jamal Murray,PG,6-4,201,February 23 1997,ca,3,Kentucky
7,Mason Plumlee,C,6-11,238,March 5 1990,us,6,Duke
3,Torrey Craig,SF,6-7,215,December 19 1990,us,2,USC Upstate
1,Michael Porter Jr.,PF,6-10,215,June 29 1998,us,R,Missouri
4,Paul Millsap,PF,6-7,250,February 10 1985,us,13,Louisiana Tech
35,PJ Dozier,PG,6-6,205,October 25 1996,us,2,South Carolina
31,Vlatko Čančar,SF,6-8,210,April 10 1997,si,R,
32,Noah Vonleh,PF,6-10,257,August 24 1995,us,5,Indiana
6,Keita Bates-Diop,SF,6-8,229,January 23 1996,us,1,Ohio State
30,Troy Daniels,SG,6-4,205,July 15 1991,us,6,Virginia Commonwealth
,Bol Bol  (TW),C,7-2,235,November 16 1999,sd,R,Oregon
,Tyler Cook  (TW),F,6-8,255,September 23 1997,us,R,Iowa
