No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Shai Gilgeous-Alexander,SG,6-5,181,July 12 1998,ca,1,Kentucky
17,Dennis Schröder,PG,6-1,172,September 15 1993,de,6,
3,Chris Paul,PG,6-1,175,May 6 1985,us,14,Wake Forest
12,Steven Adams,C,6-11,265,July 20 1993,nz,6,Pitt
8,Danilo Gallinari,PF,6-10,233,August 8 1988,it,10,
9,Nerlens Noel,C,6-10,220,April 10 1994,us,5,Kentucky
7,Darius Bazley,PF,6-8,208,June 12 2000,us,R,
23,Terrance Ferguson,SF,6-6,190,May 17 1998,us,2,
11,Abdel Nader,SF,6-5,225,September 25 1993,eg,2,Northern Illinois Iowa State
33,Mike Muscala,C,6-10,240,July 1 1991,us,6,Bucknell
6,Hamidou Diallo,SF,6-5,202,July 31 1998,us,1,Kentucky
30,Deonte Burton,SG,6-4,240,January 31 1994,us,1,Marquette Iowa State
5,Luguentz Dort,SG,6-3,215,April 19 1999,ca,R,Arizona State
15,Kevin Hervey  (TW),PF,6-9,230,July 9 1996,us,R,UT Arlington
22,Devon Hall  (TW),SG,6-2,215,July 7 1995,us,R,Virginia
22,Isaiah Roby,SF,6-8,230,February 3 1998,us,R,Nebraska
,Andre Roberson,G-F,6-7,210,December 4 1991,us,5,Colorado
