No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
1,Anfernee Simons,SG,6-3,181,June 8 1999,us,1,
3,CJ McCollum,SG,6-3,197,September 19 1991,us,6,Lehigh
21,Hassan Whiteside,C,7-0,235,June 13 1989,us,7,Marshall
0,Damian Lillard,PG,6-2,195,July 15 1990,us,7,Weber State
2,Gary Trent Jr.,SG,6-5,209,January 18 1999,us,1,Duke
00,Carmelo Anthony,PF,6-8,240,May 29 1984,us,16,Syracuse
9,Nassir Little,PF,6-5,220,February 11 2000,us,R,UNC
44,Mario Hezonja,PF,6-8,201,February 25 1995,hr,4,
8,Trevor Ariza,SF,6-8,215,June 30 1985,us,15,UCLA
5,Rodney Hood,SF,6-8,208,October 20 1992,us,5,Mississippi State Duke
50,Caleb Swanigan,PF,6-9,260,April 18 1997,us,2,Purdue
35,Wenyen Gabriel,PF,6-9,220,March 26 1997,sd,R,Kentucky
6,Jaylen Hoard  (TW),SF,6-8,216,March 30 1999,fr,R,Wake Forest
4,Moses Brown  (TW),C,7-2,245,October 13 1999,us,R,UCLA
33,Zach Collins,PF,6-11,232,November 19 1997,us,2,Gonzaga
,Jusuf Nurkić,C,7-0,280,August 23 1994,ba,5,
,Jaylen Adams,G,6-2,190,May 4 1996,us,1,St. Bonaventure
