Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Lou Williams\willilo02,33,60,1757,17.2,.546,.334,.365,1.7,9.1,5.5,29.9,1.1,0.5,14.4,28.3,,2.2,1.7,3.9,.107,,2.1,-1.4,0.8,1.2
2,Montrezl Harrell\harremo01,26,63,1749,23.1,.607,.022,.432,9.9,16.2,13.1,10.3,1.1,3.6,10.1,25.5,,4.5,2.5,7.0,.193,,2.4,0.5,2.9,2.2
3,Kawhi Leonard\leonaka01,28,51,1643,26.7,.585,.287,.344,3.3,19.7,11.7,27.0,2.6,1.7,10.7,33.2,,4.6,3.0,7.6,.222,,6.5,2.5,9.0,4.6
4,Patrick Beverley\beverpa01,31,48,1299,12.3,.554,.609,.126,4.6,15.7,10.3,18.2,1.9,1.7,15.7,13.0,,1.4,2.0,3.4,.126,,-0.5,2.6,2.1,1.3
5,Landry Shamet\shamela01,22,47,1294,9.2,.599,.764,.179,0.5,6.5,3.6,9.0,0.7,0.6,8.7,13.3,,1.7,1.0,2.7,.100,,-1.4,-0.2,-1.6,0.1
6,Paul George\georgpa01,29,42,1222,20.5,.582,.494,.277,1.9,18.1,10.2,21.2,2.2,1.4,13.0,29.6,,1.9,2.0,3.9,.153,,3.4,1.1,4.5,2.0
7,Ivica Zubac\zubaciv01,22,64,1156,21.0,.642,.006,.420,15.2,25.7,20.6,8.7,0.5,4.6,11.8,16.2,,3.6,2.0,5.6,.231,,1.5,1.0,2.5,1.3
8,Maurice Harkless\harklma01,26,50,1141,9.6,.584,.336,.194,4.4,13.5,9.0,5.5,2.0,2.3,16.3,10.3,,0.5,1.7,2.3,.096,,-2.5,2.4,-0.1,0.6
9,JaMychal Green\greenja01,29,55,1130,10.8,.554,.675,.146,7.0,24.3,15.9,5.1,1.0,1.6,12.3,13.5,,0.8,1.8,2.6,.111,,-1.4,0.6,-0.8,0.3
10,Rodney McGruder\mcgruro01,28,50,749,6.5,.472,.506,.179,3.7,13.7,8.8,5.1,1.4,0.9,11.1,10.5,,-0.1,1.0,0.8,.054,,-3.8,0.8,-3.0,-0.2
11,Patrick Patterson\pattepa01,30,51,607,11.7,.576,.755,.181,5.2,15.1,10.3,6.9,0.5,0.4,8.1,15.1,,0.9,0.6,1.5,.118,,0.9,-0.5,0.4,0.4
12,Jerome Robinson\robinje01,22,42,476,4.8,.423,.493,.140,1.1,11.6,6.5,12.6,1.3,1.5,15.3,14.9,,-0.6,0.6,0.0,-0.002,,-5.4,0.6,-4.8,-0.3
13,Marcus Morris\morrima03,30,12,340,7.7,.480,.526,.096,2.2,12.2,7.3,7.2,1.1,2.6,11.2,16.4,,-0.2,0.4,0.2,.033,,-3.1,0.5,-2.6,-0.1
14,Terance Mann\mannte01,23,35,271,7.1,.472,.222,.222,1.6,10.8,6.3,17.9,1.4,1.6,19.1,11.2,,0.0,0.3,0.3,.057,,-4.7,1.2,-3.5,-0.1
15,Derrick Walton\waltode01,24,23,222,8.4,.626,.583,.250,1.0,5.9,3.5,12.6,0.8,0.0,9.1,8.2,,0.4,0.2,0.5,.113,,-2.2,0.9,-1.4,0.0
16,Reggie Jackson\jacksre01,29,9,175,15.6,.670,.525,.169,2.4,12.7,7.7,24.2,0.5,2.0,21.1,19.1,,0.3,0.2,0.5,.142,,2.1,0.6,2.8,0.2
17,Amir Coffey\coffeam01,22,13,98,5.9,.408,.212,.091,4.3,10.3,7.4,12.6,0.5,0.9,8.0,15.8,,-0.1,0.1,0.0,.009,,-5.7,-1.1,-6.8,-0.1
18,Mfiondu Kabengele\kabenmf01,22,12,64,18.2,.614,.625,.156,1.7,15.7,8.9,4.9,1.5,2.7,5.5,23.5,,0.1,0.1,0.2,.175,,2.2,-0.1,2.1,0.1
19,Johnathan Motley\motlejo01,24,13,41,28.4,.774,.067,.467,7.7,17.2,12.6,32.8,3.4,0.0,21.7,23.4,,0.2,0.1,0.3,.299,,4.8,3.3,8.1,0.1
