No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
40,Ivica Zubac,C,7-0,240,March 18 1997,ba,3,
5,Montrezl Harrell,C,6-7,240,January 26 1994,us,4,Louisville
23,Lou Williams,SG,6-1,175,October 27 1986,us,14,
4,JaMychal Green,PF,6-8,227,June 21 1990,us,5,Alabama
2,Kawhi Leonard,SF,6-7,230,June 29 1991,us,8,San Diego State
54,Patrick Patterson,PF,6-8,230,March 14 1989,us,9,Kentucky
19,Rodney McGruder,SG,6-4,200,July 29 1991,us,3,Kansas State
21,Patrick Beverley,PG,6-1,185,July 12 1988,us,7,Arkansas
20,Landry Shamet,SG,6-4,188,March 13 1997,us,1,Wichita State
13,Paul George,SF,6-8,220,May 2 1990,us,9,Fresno State
14,Terance Mann,SG,6-5,215,October 18 1996,us,R,Florida State
15,Johnathan Motley  (TW),PF,6-8,230,May 4 1995,us,2,Baylor
7,Amir Coffey  (TW),SG,6-7,205,June 17 1997,us,R,Minnesota
31,Marcus Morris,PF,6-8,235,September 2 1989,us,8,Kansas
25,Mfiondu Kabengele,C,6-9,250,August 14 1997,ca,R,Florida State
1,Reggie Jackson,PG,6-3,208,April 16 1990,it,8,Boston College
,Joakim Noah,C,6-11,230,February 25 1985,us,12,Florida
