Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,LeBron James\jamesle01,35,60,60,34.9,9.8,19.6,.498,2.2,6.4,.349,7.6,13.3,.570,.555,4.0,5.7,.697,1.0,6.9,7.9,10.6,1.2,0.5,4.0,1.8,25.7
2,Anthony Davis\davisan02,26,55,55,34.3,9.2,18.1,.511,1.2,3.5,.335,8.1,14.5,.554,.544,7.0,8.3,.845,2.3,7.1,9.4,3.1,1.5,2.4,2.5,2.5,26.7
3,Kentavious Caldwell-Pope\caldwke01,26,63,20,25.4,3.5,7.4,.472,1.4,3.5,.394,2.1,3.9,.543,.565,1.2,1.5,.779,0.6,1.5,2.1,1.7,0.8,0.2,0.9,1.9,9.5
4,Danny Green\greenda02,32,61,61,25.1,2.9,7.0,.419,1.9,4.9,.378,1.1,2.1,.516,.552,0.5,0.7,.727,0.7,2.7,3.4,1.4,1.2,0.5,0.9,2.1,8.2
5,Kyle Kuzma\kuzmaky01,24,54,7,24.6,4.7,10.9,.432,1.3,4.4,.297,3.4,6.5,.523,.491,1.8,2.4,.738,0.9,3.6,4.5,1.3,0.4,0.4,1.6,2.0,12.5
6,Avery Bradley\bradlav01,29,49,44,24.2,3.5,7.8,.444,1.3,3.5,.364,2.2,4.3,.510,.526,0.4,0.5,.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6
7,Rajon Rondo\rondora01,33,48,3,20.5,2.9,6.8,.418,0.9,2.6,.328,2.0,4.2,.473,.480,0.6,0.9,.659,0.5,2.5,3.0,5.0,0.8,0.0,1.9,1.2,7.1
8,Dwight Howard\howardw01,34,62,2,19.2,3.0,4.1,.732,0.0,0.1,.600,3.0,4.1,.734,.737,1.4,2.9,.494,2.5,4.9,7.4,0.7,0.4,1.2,1.2,3.2,7.5
9,Alex Caruso\carusal01,25,58,1,17.8,1.9,4.5,.423,0.7,1.8,.355,1.2,2.6,.471,.496,1.0,1.3,.763,0.2,1.7,1.9,1.8,1.0,0.3,0.8,1.5,5.4
10,JaVale McGee\mcgeeja01,32,61,61,16.8,3.0,4.6,.640,0.0,0.1,.500,2.9,4.5,.643,.645,0.8,1.2,.653,1.8,4.0,5.8,0.6,0.5,1.5,0.8,2.4,6.8
11,Markieff Morris\morrima02,30,8,0,14.8,1.8,4.5,.389,0.8,2.6,.286,1.0,1.9,.533,.472,0.5,0.5,1.000,1.3,2.0,3.3,0.6,0.3,0.5,0.6,2.0,4.8
12,Troy Daniels\danietr01,28,41,0,11.1,1.5,3.9,.392,1.0,2.7,.357,0.5,1.1,.478,.519,0.2,0.4,.625,0.3,0.8,1.1,0.3,0.2,0.1,0.2,0.7,4.2
13,Quinn Cook\cookqu01,26,38,0,10.8,2.0,4.6,.439,0.7,1.7,.379,1.3,2.8,.477,.512,0.2,0.2,.667,0.2,0.9,1.1,1.1,0.3,0.0,0.7,0.6,4.8
14,Jared Dudley\dudleja01,34,40,1,7.8,0.5,1.3,.400,0.4,0.9,.471,0.1,0.4,.250,.560,0.1,0.1,1.000,0.1,1.0,1.1,0.5,0.3,0.1,0.2,0.9,1.5
15,Talen Horton-Tucker\hortota01,19,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
16,Zach Norvell\norveza01,22,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
17,Kostas Antetokounmpo\antetko01,22,3,0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
