Rk,,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Harrison Barnes\barneha02,27,64,2231,13.3,.575,.342,.343,3.0,12.7,7.7,9.9,0.8,0.4,8.9,17.6,,3.1,1.1,4.2,.091,,0.0,-1.2,-1.2,0.5
2,Buddy Hield\hieldbu01,27,64,2045,16.3,.566,.582,.123,3.1,14.1,8.4,15.8,1.4,0.8,11.8,27.1,,1.6,1.5,3.1,.074,,2.6,-1.3,1.4,1.7
3,Nemanja Bjelica\bjeline01,31,64,1821,15.6,.597,.488,.121,6.5,19.4,12.8,14.6,1.4,1.7,12.6,17.4,,3.0,1.7,4.7,.125,,1.2,0.4,1.6,1.7
4,Cory Joseph\josepco01,28,64,1538,10.3,.513,.363,.157,2.6,9.5,6.0,19.4,1.5,1.3,14.0,13.0,,1.1,1.0,2.2,.067,,-2.1,0.3,-1.8,0.1
5,Bogdan Bogdanović\bogdabo01,27,53,1510,14.3,.560,.595,.164,1.2,11.8,6.4,17.2,1.7,0.9,11.5,22.3,,1.2,1.1,2.4,.075,,0.7,-0.3,0.4,0.9
6,De'Aaron Fox\foxde01,22,45,1426,20.3,.556,.221,.442,2.3,12.3,7.2,35.4,2.2,1.5,14.6,29.6,,2.1,1.3,3.5,.117,,2.1,-0.3,1.8,1.4
7,Richaun Holmes\holmeri01,26,39,1125,20.5,.685,.000,.312,11.5,21.3,16.3,5.4,1.7,4.7,11.8,16.0,,3.2,1.5,4.6,.198,,0.6,0.9,1.5,1.0
8,Trevor Ariza\arizatr01,34,32,791,9.4,.543,.739,.164,2.9,18.3,10.4,8.4,2.2,0.8,13.7,11.3,,0.3,0.8,1.1,.069,,-1.9,1.3,-0.6,0.3
9,Harry Giles\gilesha01,21,38,579,16.3,.586,.000,.208,6.3,25.2,15.5,13.4,1.8,2.3,13.4,19.6,,0.7,0.7,1.4,.120,,-2.2,1.1,-1.1,0.1
10,Dewayne Dedmon\dedmode01,30,34,541,8.5,.477,.415,.164,9.3,25.9,17.4,3.9,1.4,4.6,20.4,18.6,,-0.8,0.7,-0.1,-0.005,,-6.3,-0.1,-6.4,-0.6
11,Kent Bazemore\bazemke01,30,21,493,13.0,.543,.337,.414,2.5,22.1,12.0,7.1,2.5,1.6,11.1,19.9,,0.2,0.6,0.8,.077,,-3.0,0.4,-2.6,-0.1
12,Yogi Ferrell\ferreyo01,26,44,484,10.7,.499,.408,.219,1.4,10.0,5.6,17.6,1.4,0.8,11.9,18.9,,0.1,0.3,0.4,.036,,-2.1,-0.4,-2.5,-0.1
13,Marvin Bagley\baglema01,20,13,334,15.7,.512,.132,.186,9.5,23.6,16.4,5.0,0.9,3.4,9.1,25.9,,0.0,0.4,0.4,.055,,-2.1,-1.3,-3.4,-0.1
14,Justin James\jamesju01,23,34,218,11.5,.487,.333,.269,3.0,12.7,7.8,10.8,1.3,3.9,8.4,19.0,,0.0,0.2,0.2,.037,,-1.0,0.2,-0.7,0.1
15,Alex Len\lenal01,26,9,150,20.3,.636,.000,.238,19.0,29.3,24.1,5.1,0.7,8.3,19.2,16.7,,0.3,0.2,0.5,.165,,-0.7,0.1,-0.6,0.1
16,Anthony Tolliver\tollian01,34,9,82,0.3,.252,.882,.118,2.7,12.7,7.6,4.6,2.4,1.2,18.3,11.6,,-0.2,0.1,-0.2,-0.099,,-7.8,-0.9,-8.8,-0.1
17,Wenyen Gabriel\gabriwe01,22,11,61,7.5,.444,.471,.588,7.2,11.4,9.2,6.7,2.4,3.1,18.9,18.9,,-0.1,0.1,0.0,-0.027,,-4.4,0.5,-3.9,0.0
18,Caleb Swanigan\swanica01,22,7,23,0.0,.512,.000,.500,9.6,25.2,17.2,11.7,2.1,8.3,55.1,20.6,,-0.1,0.0,-0.1,-0.175,,-14.6,3.4,-11.2,-0.1
19,DaQuan Jeffries\jeffrda01,22,6,19,10.7,.500,.571,.000,5.8,0.0,3.0,7.8,2.6,0.0,0.0,16.1,,0.0,0.0,0.0,.081,,-2.3,-0.3,-2.6,0.0
20,Eric Mika\mikaer01,25,1,19,14.0,.773,.000,.667,11.6,30.5,20.8,0.0,0.0,0.0,0.0,8.9,,0.1,0.0,0.1,.222,,-2.2,-0.9,-3.1,0.0
21,Jabari Parker\parkeja01,24,1,15,4.0,.291,.167,.333,0.0,30.9,15.0,17.4,0.0,0.0,0.0,20.0,,0.0,0.0,0.0,-0.079,,-6.9,-3.4,-10.3,0.0
22,Kyle Guy\guyky01,22,2,4,9.8,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,,0.0,0.0,0.0,-0.022,,-1.3,-2.8,-4.1,0.0
