Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Harrison Barnes\barneha02,27,64,64,34.9,5.1,11.1,.459,1.5,3.8,.383,3.6,7.3,.498,.524,3.1,3.8,.803,1.0,3.8,4.8,2.4,0.6,0.2,1.3,1.3,14.7
2,Buddy Hield\hieldbu01,27,64,44,32.0,7.1,16.6,.429,3.8,9.7,.395,3.3,6.9,.477,.544,1.8,2.0,.855,0.9,3.9,4.8,3.1,0.9,0.3,2.3,2.3,19.8
3,De'Aaron Fox\foxde01,22,45,43,31.7,7.3,15.4,.475,1.0,3.4,.307,6.3,12.0,.523,.509,4.8,6.8,.703,0.7,3.4,4.0,6.8,1.4,0.5,3.1,2.9,20.4
4,Richaun Holmes\holmeri01,26,39,33,28.8,5.4,8.2,.654,0.0,0.0,,5.4,8.2,.654,.654,2.1,2.6,.800,3.0,5.3,8.3,1.0,1.0,1.4,1.3,3.9,12.8
5,Nemanja Bjelica\bjeline01,31,64,61,28.5,4.5,9.4,.475,2.0,4.6,.424,2.5,4.8,.524,.579,0.9,1.1,.822,1.7,4.8,6.4,2.8,0.8,0.5,1.4,3.0,11.9
6,Bogdan Bogdanović\bogdabo01,27,53,20,28.5,5.2,12.1,.433,2.6,7.2,.361,2.6,4.9,.541,.541,1.4,2.0,.724,0.3,2.9,3.2,3.2,1.0,0.3,1.7,2.2,14.5
7,Marvin Bagley\baglema01,20,13,6,25.7,6.0,12.8,.467,0.3,1.7,.182,5.7,11.2,.510,.479,1.9,2.4,.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2
8,Trevor Ariza\arizatr01,34,32,0,24.7,2.0,5.2,.388,1.3,3.8,.352,0.7,1.3,.488,.518,0.7,0.8,.778,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0,6.0
9,Cory Joseph\josepco01,28,64,22,24.0,2.4,5.8,.420,0.7,2.1,.351,1.7,3.7,.460,.484,0.8,0.9,.828,0.6,2.0,2.5,3.4,0.7,0.3,1.0,1.9,6.3
10,Kent Bazemore\bazemke01,30,21,0,23.5,3.4,8.0,.426,1.0,2.7,.386,2.4,5.3,.446,.491,2.4,3.3,.729,0.5,4.5,5.0,1.1,1.2,0.4,1.2,2.9,10.3
11,Eric Mika\mikaer01,25,1,0,19.0,2.0,3.0,.667,0.0,0.0,,2.0,3.0,.667,.667,2.0,2.0,1.000,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,6.0
12,Alex Len\lenal01,26,9,0,16.7,2.9,4.7,.619,0.0,0.0,,2.9,4.7,.619,.619,0.8,1.1,.700,2.9,4.2,7.1,0.6,0.2,1.4,1.2,2.3,6.6
13,Dewayne Dedmon\dedmode01,30,34,10,15.9,2.0,5.0,.404,0.4,2.1,.197,1.6,2.9,.550,.444,0.7,0.8,.821,1.4,3.6,4.9,0.4,0.4,0.8,1.4,2.7,5.1
14,Harry Giles\gilesha01,21,38,17,15.2,3.1,5.4,.560,0.0,0.0,,3.1,5.4,.560,.560,0.9,1.1,.767,0.9,3.3,4.2,1.3,0.6,0.4,0.9,2.6,7.0
15,Jabari Parker\parkeja01,24,1,0,15.0,1.0,6.0,.167,0.0,1.0,.000,1.0,5.0,.200,.167,2.0,2.0,1.000,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0
16,Yogi Ferrell\ferreyo01,26,44,0,11.0,1.5,3.8,.396,0.4,1.6,.275,1.1,2.3,.480,.453,0.7,0.8,.865,0.1,1.0,1.1,1.3,0.3,0.1,0.6,0.7,4.2
17,Anthony Tolliver\tollian01,34,9,0,9.1,0.3,1.9,.176,0.2,1.7,.133,0.1,0.2,.500,.235,0.1,0.2,.500,0.2,1.0,1.2,0.3,0.4,0.1,0.4,0.7,1.0
18,Justin James\jamesju01,23,34,0,6.4,1.0,2.3,.423,0.3,0.8,.346,0.7,1.5,.462,.481,0.3,0.6,.476,0.2,0.7,0.9,0.5,0.2,0.3,0.2,0.5,2.5
19,Wenyen Gabriel\gabriwe01,22,11,0,5.5,0.5,1.5,.353,0.1,0.7,.125,0.5,0.8,.556,.382,0.5,0.9,.600,0.4,0.5,0.9,0.3,0.3,0.2,0.5,0.6,1.7
20,Caleb Swanigan\swanica01,22,7,0,3.3,0.3,0.6,.500,0.0,0.0,,0.3,0.6,.500,.500,0.1,0.3,.500,0.3,0.7,1.0,0.3,0.1,0.3,0.9,1.1,0.7
21,DaQuan Jeffries\jeffrda01,22,6,0,3.2,0.5,1.2,.429,0.2,0.7,.250,0.3,0.5,.667,.500,0.0,0.0,,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.5,1.2
22,Kyle Guy\guyky01,22,2,0,2.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
